,Date,Snippet
0,20180829,A Connecticut man who hacked into more than 200 iCloud accounts of Hollywood stars and other people has been sentenced to eight months in prison.
1,20180829,"After more than 50 years as America’s most-grown apple, the fruit is expected to be unseated this year as consumers seek crisper, sweeter alternatives."
2,20180829,"Not every shot on your smartphone will be Instagram worthy, but you can often salvage middling snaps with just a few taps. Here are six easy steps."
3,20180829,"From “The Savory Collection 1935-1940” to lost Coltrane music from 1963, records from jazz’s halcyon midcentury are being released this year."
4,20180829,"Ed Sheeran plays himself in Danny Boyle's next film, his first significant role on the big screen."
5,20180829,"Chopping wood, reading and cooking (of course) a simple lamb stew you can make without a recipe."
6,20180829,"Wall Street extended its rally on Wednesday, with the S&amp;P 500 and the Nasdaq hitting record highs for the fourth straight session as technology companies pushed indexes higher and promising trade negotiations stoked investor sentiment."
7,20180829,Stefanos Tsitsipas has focused on his creative side as he has risen up the world rankings. 
8,20180829,State lawmakers repealed the death penalty in 2015. Why didn’t that last?
9,20180829,"In the escalating U.S.-China trade war, Asian trading partners are trying to avoid becoming collateral damage."
10,20180825,"The conventional wisdom is that morning people are high achievers, go-getters, while late risers are lazy. But what if going to bed in the wee hours is actually an advantage?"
11,20180824,"Twitter Inc's chief executive will testify before a U.S. House of Representatives committee on Sept. 5, the panel said on Friday, after some Republicans raised concerns about social media companies removing content from conservatives."
12,20180824,"The company’s driverless-car unit, Waymo, has registered a Shanghai subsidiary — the latest sign of the breadth of its interest in the country. Yet hurdles are plentiful."
13,20180824,"The index has fallen as much as 10 percent in a year of trade wars and collapsing currencies, but with big American companies making lots of money, the long bull market keeps going."
14,20180824,"Paris has seen a marked rise in urban beekeeping, with more than 1,000 hives atop landmark buildings as well as in community gardens across the city."
15,20180824,"iTunes charts for week ending August 23, 2018"
16,20180824,"iTunes charts for week ending August 23, 2018"
17,20180824,Low interest rates may do less to boost business spending in today's economy than in years past because the big companies that now dominate many industries tend to use their money on intangibles that do not get cheaper as borrowing costs fall.
18,20180824,"Investors bought back into U.S. stocks this week which set their longest-ever market rally, although risks ahead spurred anxiety over how much longer the ageing bull can last, Bank of America Merrill Lynch strategists said on Friday."
19,20180824,"Backed by agrochemical companies, the current administration and Congress are moving to curb the role of human health studies in regulation."
20,20180822,"The S&amp;P 500's bull market turned 3,453 days old on Wednesday, making it the longest such streak in history, according to some investors' definition. "
21,20180822,"The Toyota Prius may be synonymous with hybrids, but shopping for a gas-electric car is no longer a choice between that and a handful of also-rans. Today, more than a half-dozen hybrids return 45 mpg or more while offering impressive space, cuttin..."
22,20180822,One former confidant entered a guilty plea. Another received a guilty verdict. Both events may have significant consequences for President Trump.
23,20180822,"Chinese smartphone maker Xiaomi Inc reported its second-quarter revenue surged 68.3 percent, as strong smartphone sales complemented a jump in revenue at its smaller, but fast-growing connected devices business."
24,20180822,"In the late ’70s tennis in New York began to change, marked by Connors’s evolution from villain in 1977 at the West Side Tennis Club to hero in 1978 at the National Tennis Center."
25,20180822,"The new $1,000 device is aimed at power users who work, play, consume and create on their phone. For others, there are plenty of cheaper options."
26,20180822,Google once held itself up as proudly nonconformist. A decision to abide by Chinese censors would mark a new era for the company — one of conventionality.
27,20180822,"Danish hearing aid company GN Store Nord raised its 2018 sales and profit forecast for its headset business on Wednesday, sending its shares 4 percent higher. "
28,20180822,"As a MoMA exhibition continues in Melbourne, Australia, we thought we’d test how well the two cities really know each other. Think you’re pretty global? Take the quiz and see."
29,20180822,John Lampkin teaches us how to test a watermelon for freshness.
30,20180818,"The song “Respect” helped Aretha Franklin soar to fame and became an anthem for the women’s rights movement. But radio royalties for the song went to its writer, Otis Redding."
31,20180817,Sometimes it seems as if we’re living under a constant barrage of heavy news. But it isn’t all bad out there.
32,20180817,"A motion filed on behalf of a Sandy Hook victim’s father accused Mr. Jones, who is being sued for spreading false claims about the 2012 school shooting, of deleting videos and social media posts."
33,20180817,"Twitter struggled, and failed, to answer the question of what is allowed on its platform. And Elon Musk dealt with the consequences of having tweeted in the first place."
34,20180817,The Tesla chief told The New York Times that working nonstop to turn the company around is taking its toll on him. His directors agree.
35,20180817,"Under fire from both parties, the longtime House Democratic leader faces an uncertain political future."
36,20180817,Here’s what you need to know to start your day.
37,20180817,"Digital assistants from Amazon, Apple and Google can only have meager back-and-forth exchanges with us. Listen to how that tells us something about where they’re going in the future."
38,20180817,"Stephen Colbert gave a blunt assessment of Gov. Andrew Cuomo’s statement. “That is the dumbest thing you can say as a politician,” Colbert said."
