,Date,Description
0,2018-08-29,"Indian Prime Minister Narendra Modi, with little more than six months left in his first term, is in danger of losing bragging rights that the nation’s economy has performed better under his administration than under the previous Congress party government."
1,2018-08-29,"WSJ City is the app that delivers concise, smart news on business and finance for mobile. Download for iPhone or Android. Here’s essential reading on today’s developments. MUST READS FROM WSJ CITY Turkey’s central bank took steps to undo some of the emergency…"
2,2018-08-28,"The president on Tuesday morning accused the search engine of elevating critical stories about him, saying that it is a “very serious situation” that will be addressed."
3,2018-08-28,"Warren Buffett’s conglomerate is set to invest between $285 million and $357 million into One97 Communications, the parent company of India’s largest mobile-payments firm Paytm."
4,2018-08-27,"U.S. companies have been scaling back borrowing while posting improved earnings, marking some tentative signs of progress amid concerns about their elevated debt levels."
5,2018-08-27,"Major U.S. stock indexes crested higher Monday, sending the Nasdaq Composite past the 8000 mark for the first time as trade tensions eased."
6,2018-08-26,"Wall Street Journal Global Tech Rally Fractures as Investors Cool on Chinese Firms Wall Street Journal Some investors are asking whether a pullback in China's tech firms may presage a similar one in the U.S., and if so which stocks might lead the market highe…"
7,2018-08-26,Apple and Google’s app store commissions form a lucrative revenue stream that most app developers can’t sidestep in the way Netflix is attempting. That could spur regulators to take a closer look.
8,2018-08-26,D&D London is opening its first restaurant in the New York next month at the Shops at Columbus Circle and will open a second spot in 2019 in Hudson Yards.
9,2018-08-24,"And why despite his preachments to the contrary, Tesla needs to raise fresh capital."
10,2018-08-23,Big companies need to disclose more about their investments.
11,2018-08-23,"The Morning Download: Democratic National Committee Reports Attempted Hack of Voter File Wall Street Journal (blog) Update: The suspected attempt to hack into the DNC's voter database was actually a cybersecurity test, the organization said. The Journal has m…"
12,2018-08-23,"Australia banned Chinese telecom firms Huawei and ZTE from its next-generation 5G mobile network, aligning it with U.S. policy on the matter and underscoring concerns about the possibility of cyberspying by Beijing."
13,2018-08-22,Regular corporate earnings reports enhance accountability.
14,2018-08-22,Facebook plans to pull its data-security app Onavo from Apple Inc.’s app store after the iPhone maker ruled that the service violated its data-collection policies
15,2018-08-22,"Apple’s white wireless earphones transmit music and conversations, but some users wear them all day as a shield, a secretary and a hiding place."
16,2018-08-21,"U.S. Stocks Poised to Enter Longest-Ever Bull Market U.S. stocks are on the verge of surpassing their longest-running rally, ratifying a market rebound that began in the ashes of the financial crisis and defying those who have questioned its staying power. We…"
