Date,Date,CNN VS (Day_Lag=-1)
2018-06-01,2018-06-01,0.2553
2018-06-02,2018-06-02,0.0
2018-06-04,2018-06-04,-0.1796
2018-06-05,2018-06-05,0.1236
2018-06-06,2018-06-06,0.0353
2018-06-07,2018-06-07,0.4759
2018-06-08,2018-06-08,0.2145
2018-06-09,2018-06-09,0.0462
2018-06-12,2018-06-12,0.2959
2018-06-13,2018-06-13,0.1723
2018-06-14,2018-06-14,0.1048
2018-06-15,2018-06-15,0.3337
2018-06-16,2018-06-16,0.3059
2018-06-18,2018-06-18,-0.296
2018-06-19,2018-06-19,-0.0848
2018-06-20,2018-06-20,-0.0433
2018-06-21,2018-06-21,0.122
2018-06-22,2018-06-22,0.2944
2018-06-23,2018-06-23,0.1531
2018-06-24,2018-06-24,0.0513
2018-06-25,2018-06-25,0.0
2018-06-26,2018-06-26,-0.0754
2018-06-27,2018-06-27,-0.1455
2018-06-28,2018-06-28,-0.388
2018-06-29,2018-06-29,-0.189
2018-06-30,2018-06-30,-0.1419
2018-07-01,2018-07-01,0.0
2018-07-02,2018-07-02,-0.2732
2018-07-03,2018-07-03,0.1536
2018-07-06,2018-07-06,0.0
2018-07-07,2018-07-07,0.1534
2018-07-08,2018-07-08,-0.1366
2018-07-09,2018-07-09,-0.3715
2018-07-10,2018-07-10,-0.2009
2018-07-11,2018-07-11,-0.2125
2018-07-12,2018-07-12,0.148
2018-07-13,2018-07-13,-0.1055
2018-07-14,2018-07-14,0.046
2018-07-15,2018-07-15,0.4956
2018-07-17,2018-07-17,0.2234
2018-07-18,2018-07-18,-0.0812
2018-07-19,2018-07-19,0.0155
2018-07-20,2018-07-20,0.0
2018-07-21,2018-07-21,-0.3008
2018-07-22,2018-07-22,0.0766
2018-07-23,2018-07-23,0.0
2018-07-25,2018-07-25,0.4767
2018-07-26,2018-07-26,0.1243
2018-07-27,2018-07-27,0.3411
2018-07-28,2018-07-28,-0.059
2018-07-29,2018-07-29,0.3818
2018-07-30,2018-07-30,-0.0736
2018-07-31,2018-07-31,0.05
2018-08-01,2018-08-01,0.2249
2018-08-02,2018-08-02,0.2166
2018-08-03,2018-08-03,0.2486
2018-08-04,2018-08-04,-0.1375
2018-08-05,2018-08-05,0.2263
2018-08-06,2018-08-06,0.0
2018-08-07,2018-08-07,-0.1131
2018-08-08,2018-08-08,-0.1828
2018-08-09,2018-08-09,0.0323
2018-08-10,2018-08-10,0.2094
2018-08-11,2018-08-11,0.0
2018-08-12,2018-08-12,-0.5267
2018-08-14,2018-08-14,-0.0342
2018-08-15,2018-08-15,-0.214
2018-08-16,2018-08-16,0.2298
2018-08-17,2018-08-17,-0.435
2018-08-18,2018-08-18,-0.247
2018-08-21,2018-08-21,-0.0053
2018-08-22,2018-08-22,0.2629
2018-08-23,2018-08-23,-0.0201
2018-08-24,2018-08-24,-0.228
2018-08-25,2018-08-25,-0.2083
2018-08-27,2018-08-27,0.0
2018-08-28,2018-08-28,0.247
2018-08-29,2018-08-29,0.4013
2018-08-30,2018-08-30,0.0129
