Date,Date,NYT VS (Day_Lag=-1)
2018-06-02,2018-06-02,0.3731
2018-06-03,2018-06-03,0.0
2018-06-07,2018-06-07,0.1547
2018-06-08,2018-06-08,0.3953
2018-06-13,2018-06-13,-0.5994
2018-06-14,2018-06-14,-0.2062
2018-06-15,2018-06-15,0.4016
2018-06-19,2018-06-19,0.0991
2018-06-20,2018-06-20,0.0
2018-06-23,2018-06-23,-0.1012
2018-06-24,2018-06-24,0.4643
2018-06-28,2018-06-28,-0.0752
2018-06-29,2018-06-29,0.4776
2018-07-06,2018-07-06,0.1264
2018-07-07,2018-07-07,-0.3021
2018-07-12,2018-07-12,0.0337
2018-07-13,2018-07-13,0.0224
2018-07-19,2018-07-19,0.1918
2018-07-20,2018-07-20,0.0159
2018-07-27,2018-07-27,-0.1497
2018-07-28,2018-07-28,-0.0164
2018-08-03,2018-08-03,-0.0474
2018-08-07,2018-08-07,-0.5574
2018-08-08,2018-08-08,0.1872
2018-08-10,2018-08-10,-0.4588
2018-08-11,2018-08-11,0.1131
2018-08-17,2018-08-17,0.0
2018-08-18,2018-08-18,-0.235
2018-08-19,2018-08-19,0.2382
2018-08-23,2018-08-23,0.2581
2018-08-25,2018-08-25,0.0293
2018-08-26,2018-08-26,0.4497
2018-08-30,2018-08-30,-0.0332
