Date,Date,WSJ VS (Day_Lag=-1)
2018-06-01,2018-06-01,0.2855
2018-06-02,2018-06-02,0.3062
2018-06-03,2018-06-03,-0.106
2018-06-04,2018-06-04,0.529
2018-06-05,2018-06-05,0.4126
2018-06-06,2018-06-06,0.3555
2018-06-07,2018-06-07,0.0281
2018-06-08,2018-06-08,0.3125
2018-06-09,2018-06-09,0.2423
2018-06-10,2018-06-10,0.6242
2018-06-12,2018-06-12,0.2527
2018-06-13,2018-06-13,0.2464
2018-06-14,2018-06-14,-0.0081
2018-06-15,2018-06-15,0.0433
2018-06-16,2018-06-16,-0.0301
2018-06-18,2018-06-18,0.0
2018-06-19,2018-06-19,0.0197
2018-06-20,2018-06-20,0.1094
2018-06-21,2018-06-21,-0.028
2018-06-22,2018-06-22,0.0757
2018-06-23,2018-06-23,0.0258
2018-06-24,2018-06-24,-0.1522
2018-06-25,2018-06-25,0.1012
2018-06-26,2018-06-26,0.2831
2018-06-28,2018-06-28,0.3047
2018-06-29,2018-06-29,0.4571
2018-06-30,2018-06-30,0.1268
2018-07-02,2018-07-02,-0.1926
2018-07-03,2018-07-03,0.206
2018-07-06,2018-07-06,-0.2732
2018-07-07,2018-07-07,0.1273
2018-07-08,2018-07-08,0.4939
2018-07-09,2018-07-09,-0.2384
2018-07-10,2018-07-10,0.0933
2018-07-11,2018-07-11,0.2827
2018-07-13,2018-07-13,0.2621
2018-07-14,2018-07-14,0.3164
2018-07-16,2018-07-16,0.0439
2018-07-17,2018-07-17,0.7361
2018-07-18,2018-07-18,0.4254
2018-07-19,2018-07-19,0.1788
2018-07-20,2018-07-20,0.0964
2018-07-21,2018-07-21,0.318
2018-07-22,2018-07-22,0.5994
2018-07-23,2018-07-23,0.2393
2018-07-24,2018-07-24,-0.1547
2018-07-25,2018-07-25,0.0533
2018-07-26,2018-07-26,0.1509
2018-07-27,2018-07-27,0.4726
2018-07-28,2018-07-28,0.0432
2018-07-30,2018-07-30,-0.2201
2018-07-31,2018-07-31,0.0424
2018-08-01,2018-08-01,-0.0324
2018-08-02,2018-08-02,0.163
2018-08-03,2018-08-03,0.3091
2018-08-04,2018-08-04,0.1527
2018-08-06,2018-08-06,0.3473
2018-08-07,2018-08-07,-0.3906
2018-08-08,2018-08-08,0.0
2018-08-09,2018-08-09,-0.1904
2018-08-10,2018-08-10,-0.1794
2018-08-11,2018-08-11,0.3976
2018-08-13,2018-08-13,0.0
2018-08-14,2018-08-14,0.2796
2018-08-15,2018-08-15,0.1461
2018-08-16,2018-08-16,-0.3285
2018-08-17,2018-08-17,-0.2887
2018-08-18,2018-08-18,0.1465
2018-08-19,2018-08-19,-0.366
2018-08-20,2018-08-20,-0.1144
2018-08-21,2018-08-21,0.8074
2018-08-22,2018-08-22,-0.5423
2018-08-23,2018-08-23,-0.3161
2018-08-24,2018-08-24,-0.2222
2018-08-25,2018-08-25,0.3182
2018-08-27,2018-08-27,0.1061
2018-08-28,2018-08-28,0.1993
2018-08-29,2018-08-29,-0.2929
2018-08-30,2018-08-30,0.1496
