,Date,Snippet
0,20180829,"Quotation of the Day for Thursday, August 30, 2018."
1,20180829,Egypt’s soccer superstar Mohamed Salah unleashed a fierce assault on the country’s sporting establishment — an unusual act in a country where dissent is dangerous.
2,20180829,A massive swarm of bees gathered on a hot dog cart umbrella in New York City's Times Square on Monday. Before long it became a social media sensation thanks to live footage from Reuters. 
3,20180829,Trump’s magical mixture is to make being afraid feel like fun. 
4,20180829,Top executives at Facebook and Twitter are set to appear before Congress next week as lawmakers continue probing efforts by Russia and other countries to influence social media platforms and meddle in U.S. elections.
5,20180829,"A 10-person task force has been set up to try to catch the person responsible for mutilating and killing at least 12 cats in and near Olympia, Wash., since February."
6,20180829,A comedian who admitted to sexual misconduct seems to think it’s time for his comeback.
7,20180829,"The Senate intelligence committee said on Wednesday it would hold a hearing next week to look at how social media companies are responding to foreign influence operations, with testimony expected from top executives of Twitter Inc, Facebook Inc an..."
8,20180829,"The president, who has condoned violence at his rallies, says Democrats will “violently” overturn all he has done if they prevail in the midterms."
9,20180829,"A publishing saga, captured in Potter ephemera — letters, sketches, mementos and more — that has been transfigured into treasure."
10,20180829,North Carolina police have charged two women with helping three children smoke an apparently drug-laced cigar on social media video.
11,20180829,"Wednesday: Passenger aircraft that can fly on its own, the state fully abolishes cash bail, and an odd avocado toast recipe."
12,20180829,"Social media, including Facebook, must proactively block content inciting hatred and prevent online campaigns which target minorities, such as those undertaken in Myanmar, the United Nations human rights chief said on Wednesday."
13,20180829,Primary season is almost over. It’s been a good one for people who want to hold Trump accountable.
14,20180829,"Justicia ‘familiar’ en México, felicidad artificial y plantas nucleares flotantes: lo que está sucediendo en América Latina y en el mundo."
15,20180829,Facebook is rolling out its Watch video service globally one year after it launched in the United States with original entertainment news and sports content to compete with platforms like Alphabet Inc's YouTube.
16,20180829,"Wednesday: What actors-turned-politicians bring to the table, and a new NYC Ferry route."
17,20180829,The state should help preserve rain forests through its cap and trade system for reducing greenhouse gas emissions.
18,20180829,It’s time for a national commitment to training and supporting the next generation of providers.
19,20180829,Our system is designed to make it almost impossible to consider the domestic collateral damage of trade sanctions.
20,20180828,"She inhabited some of the most daunting roles in the operatic repertoire and was best known for her depictions of two Strauss heroines, Salome and Elektra."
21,20180828,The death of the runner Mollie Tibbetts has ignited a national conversation about the harassment and fears women face every time they go for a run.
22,20180828,Australia’s cultural and creative heart is a tech boomtown. Here’s why the world should take notice.
23,20180828,"The death of the Arizona senator has deprived Moscow of its favorite punching bag, the supposed leader of a global conspiracy of “Russophobes.”"
24,20180828,"With two new openings, Billy Durney of Hometown Bar-B-Que is shifting his attention to fried chicken and Jewish deli favorites."
25,20180828,"In fly pupae that turned to stone, scientists found evidence that wasps have been infesting other insects for tens of millions of years."
26,20180828,"If your child is just off to college and you've been dreaming of all the ways you could use that suddenly lifeless bedroom, you may want to put down the paintbrush and hold off for a bit on plans for a major room transformation."
27,20180828,The Latest on President Donald Trump's complaints about tech companies (all times local):
28,20180828,"Recreation, a hotel bar coming to the financial district, is part of a new drinks culture that includes retro family fun."
29,20180828,The Latest on the mass shooting at a Florida video gaming tournament (all times local):
30,20180827,A large study of drinking habits in 195 countries contradicts widely shared advice on healthy drinking.
31,20180827,"The White House lowered its U.S. flag to half-staff, raised it back up and on Monday lowered it again after the death of Senator John McCain, in an unusual and confusing break with protocol on the passing of a national leader."
32,20180827,The scandal that started with a former Argentine official stashing cash in a convent and deepened when records of alleged bribe payments were published took new turn on Monday with accusations by a lawyer for former President Cristina Fernandez th...
33,20180827,The genetic mechanisms that seem to influence human life span may also be at work in plants. 
34,20180827,The latest short jail term for the opposition leader comes before expected demonstrations against an unpopular plan to raise the retirement age in Russia.
35,20180827,But enough about John McCain. Here’s some more about me. 
36,20180827,Some fall arrivals will bolster the city’s rich array of slurp-worthy restaurants.
37,20180827,"Ian Schrager, who has a long roster of big-name cooks, will add John Fraser to the list at his new Times Square hotel."
38,20180827,The neighborhood’s fall openings may help shake its reputation as a dining dead zone.
39,20180827,One of the most highly anticipated segments of Sacha Baron Cohen’s Showtime series — an interview with Sarah Palin — never aired. It’s unclear why.
40,20180827,"One of the internet’s most popular fitness personalities is a dead bodybuilder named Zyzz. Is he the key to unlocking the link between toxic masculinity, objectification, and fringe politics?"
41,20180827,"Away from the uptown empire, a son of Eli Zabar will open his own restaurant on the Lower East Side."
42,20180827,"Each week we select an engaging Times graph and pair it with a simple protocol — asking students what they notice, what they wonder, and what they think is going on in the graph."
43,20180827,"Mohamed Salah has reignited a months-old dispute with soccer authorities in his native Egypt, accusing them of ignoring his complaints about their unauthorized use of his image."
