,Date,Description
0,2018-08-29,"The parent company of SurveyMonkey, SVMK Inc., gave potential investors a first look at the online survey company’s financials."
1,2018-08-29,Urban ‘resting studios’ offer personal sleeping pods to weary workers looking for a midday recharge. But that’s a lot to pay for nothingness.
2,2018-08-29,"Naked Labs’ body scanner does a great job creating a 3-D model of your naked body, but just how far are we willing to let technology go? This product plots a 360-degree model of my body and calculates various body measurements."
3,2018-08-28,"Poland has been transfixed over finding a giant python on the loose, and authorities have gone all out to find it, from using drones to bringing in a sniffer dog called Cocaine."
4,2018-08-28,"Wall Street Journal UN Censure Over Rohingya Pushes Suu Kyi and Army Closer Together Wall Street Journal For a while, it looked like Aung San Suu Kyi was playing the long game by soft-pedaling the army's vicious campaign to clear Myanmar of Rohingya Muslims. …"
5,2018-08-28,"Whether you’re freelancing or on the job hunt, don’t let a poorly conceived online handle limit your career prospects."
6,2018-08-28,Alphabet Inc.’s Google is raising its mobile-payments game in India with new functions and services as global players race to woo the nation’s legions of consumers who are skipping credit cards and transacting on smartphones instead.
7,2018-08-28,The Web giant owned by Verizon analyzes more than 200 million inboxes for clues about what products people might buy—a practice much of Silicon Valley has declared off-limits.
8,2018-08-28,"Quartz is the latest media company attempting to cash in on the growing enthusiasm for cryptocurrency, and is launching a paid newsletter that aims to guide its subscribers through the often turbulent markets for virtual currencies."
9,2018-08-28,"After too many sleepless nights, exhausted moms and dads turn to experts, some of whom even offer overnight stays as part of the consultation."
10,2018-08-28,"The president on Tuesday morning accused the search engine of elevating critical stories about him, saying that it is a “very serious situation” that will be addressed."
11,2018-08-28,A scorching run by two of the best-performing stocks in recent years is turning heads.
12,2018-08-27,"Netflix Inc. has named a new communications chief, announcing the hire about two months after the previous executive was fired for using a racial slur in conversations at work."
13,2018-08-27,Wall Street Journal Moscow Postpones Afghan Peace Talks Wall Street Journal Russia's foreign ministry said Monday that it has postponed a multilateral meeting on peace in Afghanistan after the Afghan government declined an invitation to meet the Taliban in Mo…
14,2018-08-27,Digital-media company allows readers to donate between $5 and $100 to help pay for cost of newsroom; could be prelude to membership model
15,2018-08-27,"Major U.S. stock indexes crested higher Monday, sending the Nasdaq Composite past the 8000 mark for the first time as trade tensions eased."
16,2018-08-27,"CEO James Brett’s plan is to expand J.Crew’s assortment with more entry-level prices, as well as plus sizes and more fit options."
17,2018-08-27,"Wall Street Journal UN Team Condemns Myanmar's Treatment of Rohingya as Genocide, Calls for Prosecutions Wall Street Journal Myanmar's army chief and other top commanders should be prosecuted for genocide against the country's ethnic-Rohingya Muslims, investi…"
18,2018-08-26,"Wall Street Journal Global Tech Rally Fractures as Investors Cool on Chinese Firms Wall Street Journal Some investors are asking whether a pullback in China's tech firms may presage a similar one in the U.S., and if so which stocks might lead the market highe…"
19,2018-08-26,"Even as Islamic State has lost territory in Syria and Iraq, it reigns supreme in cyberspace, where its critical recruitment and marketing tool has helped it build a brutish brand using propaganda and sometimes false claims."
20,2018-08-26,"A software engineer and a chef took on venerable Southern competitions—and won, making history with the help of ’meat glue’ and the ‘frankengrill’"
21,2018-08-24,"Once hailed for her resistance in a Russian court, the Ukrainian now stands accused of plotting a coup. Her saga shows how this troubled country has become a political hall of mirrors, rife with suspicion, paranoia and uncertainty."
