Date,Date,CNN VS (Day_Lag=-1)
2018-07-04,2018-07-04,0.052
2018-07-05,2018-07-05,0.1666
2018-07-06,2018-07-06,-0.0602
2018-07-07,2018-07-07,-0.0346
2018-07-08,2018-07-08,-0.2614
2018-07-09,2018-07-09,0.0971
2018-07-10,2018-07-10,0.1165
2018-07-11,2018-07-11,0.1048
2018-07-12,2018-07-12,0.0719
2018-07-13,2018-07-13,-0.0916
2018-07-14,2018-07-14,0.0043
2018-07-15,2018-07-15,0.1073
2018-07-16,2018-07-16,0.0864
2018-07-17,2018-07-17,0.0692
2018-07-18,2018-07-18,-0.0778
2018-07-19,2018-07-19,-0.0968
2018-07-20,2018-07-20,-0.0175
2018-07-21,2018-07-21,-0.1111
2018-07-22,2018-07-22,0.0474
2018-07-23,2018-07-23,-0.0024
2018-07-24,2018-07-24,0.0098
2018-07-25,2018-07-25,-0.0349
2018-07-26,2018-07-26,-0.0091
2018-07-27,2018-07-27,0.0284
2018-07-28,2018-07-28,-0.03
2018-07-29,2018-07-29,-0.2043
2018-07-30,2018-07-30,0.0052
2018-07-31,2018-07-31,-0.0087
2018-08-01,2018-08-01,-0.1102
2018-08-02,2018-08-02,0.0807
2018-08-03,2018-08-03,-0.0822
2018-08-04,2018-08-04,-0.1408
2018-08-05,2018-08-05,-0.1337
2018-08-06,2018-08-06,-0.228
2018-08-07,2018-08-07,-0.1363
2018-08-08,2018-08-08,-0.0811
2018-08-09,2018-08-09,-0.0418
2018-08-10,2018-08-10,0.062
2018-08-11,2018-08-11,-0.0716
2018-08-12,2018-08-12,-0.2441
2018-08-13,2018-08-13,-0.0594
2018-08-14,2018-08-14,0.0154
2018-08-15,2018-08-15,-0.1506
2018-08-16,2018-08-16,-0.083
2018-08-17,2018-08-17,-0.0421
2018-08-18,2018-08-18,-0.0945
2018-08-19,2018-08-19,0.032
2018-08-20,2018-08-20,-0.0492
2018-08-21,2018-08-21,-0.106
2018-08-22,2018-08-22,0.0117
2018-08-23,2018-08-23,-0.1441
2018-08-24,2018-08-24,-0.1146
2018-08-25,2018-08-25,-0.0716
2018-08-26,2018-08-26,-0.2196
2018-08-27,2018-08-27,-0.0251
2018-08-28,2018-08-28,-0.0103
2018-08-29,2018-08-29,0.0811
2018-08-30,2018-08-30,-0.0998
