Date,Date,NYT VS (Day_Lag=-1)
2018-06-07,2018-06-07,0.1074
2018-06-08,2018-06-08,0.544
2018-06-09,2018-06-09,-0.0302
2018-06-12,2018-06-12,-0.0367
2018-06-13,2018-06-13,-0.1656
2018-06-14,2018-06-14,0.0059
2018-06-16,2018-06-16,0.0275
2018-06-17,2018-06-17,-0.1023
2018-06-20,2018-06-20,0.3239
2018-06-22,2018-06-22,0.0479
2018-06-23,2018-06-23,-0.2539
2018-06-24,2018-06-24,-0.0355
2018-06-27,2018-06-27,0.0938
2018-06-29,2018-06-29,0.2499
2018-06-30,2018-06-30,0.0903
2018-07-01,2018-07-01,-0.5029
2018-07-03,2018-07-03,-0.0168
2018-07-04,2018-07-04,0.1706
2018-07-05,2018-07-05,0.1795
2018-07-07,2018-07-07,-0.1541
2018-07-08,2018-07-08,-0.7297
2018-07-10,2018-07-10,0.088
2018-07-11,2018-07-11,-0.1459
2018-07-12,2018-07-12,-0.1222
2018-07-13,2018-07-13,-0.3898
2018-07-14,2018-07-14,0.0154
2018-07-17,2018-07-17,0.0085
2018-07-18,2018-07-18,0.2339
2018-07-19,2018-07-19,-0.1575
2018-07-21,2018-07-21,-0.0657
2018-07-22,2018-07-22,-0.002
2018-07-23,2018-07-23,0.2728
2018-07-25,2018-07-25,0.1228
2018-07-26,2018-07-26,0.0466
2018-07-27,2018-07-27,-0.0728
2018-07-28,2018-07-28,0.0431
2018-07-29,2018-07-29,-0.1442
2018-07-31,2018-07-31,-0.0681
2018-08-01,2018-08-01,0.6042
2018-08-02,2018-08-02,0.0705
2018-08-03,2018-08-03,0.1604
2018-08-04,2018-08-04,-0.1145
2018-08-05,2018-08-05,-0.0644
2018-08-07,2018-08-07,-0.0291
2018-08-08,2018-08-08,-0.055
2018-08-09,2018-08-09,-0.1837
2018-08-11,2018-08-11,0.0853
2018-08-12,2018-08-12,0.4213
2018-08-13,2018-08-13,-0.1502
2018-08-14,2018-08-14,0.2925
2018-08-15,2018-08-15,-0.0822
2018-08-16,2018-08-16,-0.1898
2018-08-17,2018-08-17,-0.1633
2018-08-18,2018-08-18,0.2323
2018-08-19,2018-08-19,-0.0306
2018-08-20,2018-08-20,-0.3954
2018-08-21,2018-08-21,0.0667
2018-08-22,2018-08-22,-0.0908
2018-08-23,2018-08-23,-0.0827
2018-08-24,2018-08-24,-0.1424
2018-08-25,2018-08-25,-0.2109
2018-08-26,2018-08-26,-0.2417
2018-08-28,2018-08-28,-0.0819
2018-08-29,2018-08-29,0.0145
2018-08-30,2018-08-30,0.0952
