Date,Date,WSJ VS (Day_Lag=-1)
2018-06-01,2018-06-01,0.0386
2018-06-02,2018-06-02,-0.0119
2018-06-03,2018-06-03,-0.34
2018-06-05,2018-06-05,0.2159
2018-06-06,2018-06-06,0.2188
2018-06-07,2018-06-07,0.0161
2018-06-08,2018-06-08,-0.1159
2018-06-09,2018-06-09,0.2003
2018-06-10,2018-06-10,-0.5859
2018-06-11,2018-06-11,-0.1352
2018-06-12,2018-06-12,0.0732
2018-06-13,2018-06-13,0.1916
2018-06-14,2018-06-14,-0.2258
2018-06-15,2018-06-15,0.2525
2018-06-16,2018-06-16,0.3187
2018-06-18,2018-06-18,0.064
2018-06-19,2018-06-19,0.1999
2018-06-20,2018-06-20,0.3613
2018-06-21,2018-06-21,0.4179
2018-06-22,2018-06-22,0.2941
2018-06-23,2018-06-23,0.2733
2018-06-24,2018-06-24,-0.8625
2018-06-25,2018-06-25,0.0
2018-06-26,2018-06-26,0.1139
2018-06-27,2018-06-27,-0.0299
2018-06-28,2018-06-28,0.1819
2018-06-29,2018-06-29,-0.0843
2018-06-30,2018-06-30,0.1139
2018-07-02,2018-07-02,-0.0188
2018-07-03,2018-07-03,0.1356
2018-07-04,2018-07-04,0.2712
2018-07-05,2018-07-05,-0.4076
2018-07-06,2018-07-06,0.5129
2018-07-07,2018-07-07,0.0043
2018-07-08,2018-07-08,-0.2788
2018-07-09,2018-07-09,0.0077
2018-07-10,2018-07-10,-0.106
2018-07-11,2018-07-11,0.2857
2018-07-12,2018-07-12,0.064
2018-07-13,2018-07-13,0.5429
2018-07-14,2018-07-14,0.077
2018-07-15,2018-07-15,0.2457
2018-07-16,2018-07-16,0.0775
2018-07-17,2018-07-17,0.361
2018-07-18,2018-07-18,0.0339
2018-07-19,2018-07-19,0.035
2018-07-20,2018-07-20,-0.2567
2018-07-21,2018-07-21,-0.3794
2018-07-22,2018-07-22,-0.5341
2018-07-23,2018-07-23,-0.1767
2018-07-24,2018-07-24,0.2107
2018-07-25,2018-07-25,0.4916
2018-07-26,2018-07-26,0.1494
2018-07-27,2018-07-27,0.2699
2018-07-28,2018-07-28,0.0019
2018-07-29,2018-07-29,-0.3753
2018-07-30,2018-07-30,0.0
2018-07-31,2018-07-31,0.0178
2018-08-01,2018-08-01,-0.1598
2018-08-02,2018-08-02,-0.1107
2018-08-03,2018-08-03,0.1636
2018-08-04,2018-08-04,-0.104
2018-08-05,2018-08-05,-0.6808
2018-08-06,2018-08-06,-0.3062
2018-08-07,2018-08-07,0.1124
2018-08-08,2018-08-08,0.063
2018-08-09,2018-08-09,0.0116
2018-08-10,2018-08-10,0.0734
2018-08-11,2018-08-11,0.1292
2018-08-12,2018-08-12,0.1041
2018-08-13,2018-08-13,0.3665
2018-08-14,2018-08-14,-0.1262
2018-08-15,2018-08-15,-0.0864
2018-08-16,2018-08-16,0.0859
2018-08-17,2018-08-17,-0.202
2018-08-18,2018-08-18,0.2929
2018-08-19,2018-08-19,-0.1529
2018-08-20,2018-08-20,0.1969
2018-08-21,2018-08-21,-0.3887
2018-08-22,2018-08-22,0.0871
2018-08-23,2018-08-23,-0.1217
2018-08-24,2018-08-24,-0.3685
2018-08-25,2018-08-25,-0.8689
2018-08-27,2018-08-27,0.2729
2018-08-28,2018-08-28,0.0612
2018-08-29,2018-08-29,0.099
2018-08-30,2018-08-30,0.0669
