,Date,Description
0,2018-08-29,"Prominent defamation attorney L. Lin Wood is preparing to sue Elon Musk, the attorney said Wednesday."
1,2018-08-29,"Musk faces new legal problems over his tweets, this one a complaint by the NLRB that he violated labor law during union organizing effort."
2,2018-08-29,"Liz Ann Sonders, chief investment strategist at Charles Schwab, thinks investors are too complacent."
3,2018-08-29,"Richard Painter explains why the change in plans for the new FBI headquarters, across from Trump International Hotel in Washington, highlights Congress' failure to hold the President to account on his potential financial conflicts of interest."
4,2018-08-29,"Senator Bernie Sanders wants to slap a special tax on Amazon and other big companies that employ workers who collect food stamps and other public assistance. But Amazon disputes Sanders' depiction, saying its pay and benefits are competitive with other retail…"
5,2018-08-29,Three economists offer their takes on how the stock market would react if President Trump were to be impeached.
6,2018-08-29,"""We experienced continued significant declines in Under Armour sales,"" Dick's CEO Edward Stack said in a news release."
7,2018-08-29,"Leaderless, $4 billion in debt and with a stock price below $2, the besieged retailer faces an uncertain fate."
8,2018-08-29,"Companies that revolve so heavily around an entrepreneur-turned-CEO like Elon Musk face trouble if the CEO shows signs of burnout. But boards can avoid that scenario by being more hands on, experts say."
9,2018-08-29,Here's what you need to know about the markets before you start your business day.
10,2018-08-29,James Bond's favorite carmaker is planning to go public.
11,2018-08-28,John Schnatter won't leave Papa John's alone.
12,2018-08-28,"Markets are hot, but risks remain."
13,2018-08-28,"Markets are hot, but risks remain."
14,2018-08-28,The recruiting push comes as Wall Street's biggest players race to deploy AI.
15,2018-08-28,"Prices and foreclosures are up, and construction and home sales are down. The US housing market is probably not headed for a collapse, but it's definitely hard to buy a house."
16,2018-08-28,"The US Food and Drug Administration has again expanded the list of recalled medications that contain valsartan, used as a component in a set of drugs to treat heart failure and blood pressure."
17,2018-08-28,GoPro CEO Nick Woodman says the company hasn't been hit by President Trump's tariffs against China yet -- but they are actively looking to move production out of China should that change.
18,2018-08-28,1. Trump vs. Canada: The United States and Mexico have reached an agreement to change parts of NAFTA. But where does that leave Canada?
19,2018-08-27,President Trump had vowed to get rid of NAFTA which he blamed for the loss of thousands of auto jobs. But his trade deal with Mexico won't make big changes.
20,2018-08-27,Investors cheered the news that the United States and Mexico have reached a tentative trade deal.
21,2018-08-27,Here's what he needs to do now to make the company a success.
22,2018-08-27,"Musk has reversed his plan to take the company private, but the stock is still down."
23,2018-08-27,1. Tesla to remain public: Shares in Tesla were poised to slump 5% on Monday after CEO Elon Musk said that he had given up on plans to take the electric-car company private.
24,2018-08-27,Here's what you need to know about the markets before you start your business day.
25,2018-08-26,"Hidden in the defense bill Trump signed last week is a bill that will make the Small Business Administration much more helpful to employee-owned businesses, which many see as a remedy for rising inequality in America."
26,2018-08-26,"From the trade war with China and oil sanctions on Iran to the midterm election, there's plenty of market drama coming."
27,2018-08-25,"The Tesla and SpaceX CEO has put the trajectory of Tesla into question after his announcement, and reversal, about taking the car company private."
28,2018-08-25,"Tesla CEO Elon Musk said late Friday that he believes ""the better path is for Tesla to remain public."""
29,2018-08-24,Is Gap closing enough stores? Investors worry about drop in sales at flagship stores.
30,2018-08-24,AMD is the best stock in the S&P 500 this year. Shares have more than doubled as the company has benefited from more demand for PCs and the continued boom in gaming.
31,2018-08-24,AMD is the best stock in the S&P 500 this year. Shares have more than doubled as the company has benefited from more demand for PCs and the continued boom in gaming.
32,2018-08-24,Get ready for a shakeup in low-cost stock trading.
33,2018-08-24,"Landing International Development's stock dropped almost 50% in two days of Hong Kong trading after the casino operator said it was ""unable to contact"" its chairman."
34,2018-08-24,"Ask people around Lumpkin what's changed, and they don't talk much about what's there."
35,2018-08-24,"China's economy ""looks terrible,"" according to President Donald Trump's top economic adviser. The reality is more nuanced."
36,2018-08-24,Here's what else you need to know to Get Up to Speed and Out the Door.
37,2018-08-24,Here's what you need to know about the markets before you start your business day.
38,2018-08-24,1. Central bankers meet: Federal Reserve chairman Jerome Powell is scheduled to speak at the Economic Policy Symposium in Jackson Hole on Friday.
39,2018-08-23,"Americans have gotten wealthier under Trump, but the upward trend began long before he took office. And the wealthy are benefiting the most."
40,2018-08-23,One Tesla shareholder thinks Musk's talk of taking Tesla private is a bad idea. The stock could still be worth a lot more.
41,2018-08-23,One Tesla shareholder thinks Musk's talk of taking Tesla private is a bad idea. The stock could still be worth a lot more.
42,2018-08-23,"Despite the recovery in oil prices, the blockbuster IPO of Saudi Arabia's crown jewel appears to be on death's door."
43,2018-08-23,Bank profits soared to more than $60 billion in the second quarter.
44,2018-08-23,Impeachment proceedings could very well rattle investors. But a crash sounds extreme given the strength of the economy and corporate profits.
45,2018-08-23,The Apple CEO is going to be a richer man on Friday.
46,2018-08-23,Here's the list of the next 46 Kmart and Sears stores slated to close. More are on the way.
47,2018-08-23,Tensie Whelan is founding director of NYU Stern's Center for Sustainable Business and clinical professor of Business & Society. The opinions expressed in this commentary are her own.
48,2018-08-23,David Zaring is an associate professor of legal studies & business ethics at The Wharton School of the University of Pennsylvania. The opinions expressed in this commentary are his own.
49,2018-08-23,"1. US-China trade war intensifies: The Trump Administration's latest round of tariffs on Chinese goods have kicked in, drawing immediate retaliation from Beijing."
50,2018-08-22,"Hurricane Lane stalks Hawaii, the U.S. stock market weathers bumps in the road to make history, and a sand artist makes a living using only a stick and a rake."
51,2018-08-22,Why Wall Street is rooting against a strong dollar.
52,2018-08-22,A blitz of ominous legal and political developments for President Donald Trump were met by eerie silence on Wall Street.
53,2018-08-22,Xiaomi has posted a bumper profit in its first earnings report since going public last month.
54,2018-08-22,The difficulties facing Chinese social media and video game giant Tencent reflect a more restrictive environment for Chinese tech firms.
55,2018-08-21,President Trump has made his opinion clear: He wants the Federal Reserve to stop raising rates.
56,2018-08-21,Canadian cannabis stocks Cronos and Tilray are surging after announcing plans to sell legal marijuana in Canada. The investment by Corona owner Constellation Brands in fellow cannabis company Canopy Growth is helping too.
57,2018-08-21,Elon Musk says Tesla would be better off without the scrutiny of quarterly earnings. But a private Tesla might still have to report results.
58,2018-08-21,Concerns about rising interest rates leading to a slowdown in housing may prove to be for naught. Builder Toll Brothers just reported strong results and a healthy outlook.
59,2018-08-21,"Molekule air purifiers destroy pollutants at the molecular level. And if you appreciate creative design, smooth functionality and clean air, the Molekule is hard to beat. Shop now for the air purifier that's as attractive as it is effective."
60,2018-08-21,Costco has defended against Amazon by perfecting its 35-year-old warehouse club model.
61,2018-08-21,"Facing growing competition from free trading services, the nation's largest bank will start offering 100 free online trades a year to its customers."
62,2018-08-21,The British pound is expected to drop sharply in the event of a 'no-deal' Brexit while the reaction from the UK stock market will be more nuanced.
63,2018-08-21,Here's what you need to know about the markets before you start your business day.
64,2018-08-20,A quarter of Tesla's market value has vanished in two weeks as a growing chorus voices skepticism about the electric car maker's ability to go private.
65,2018-08-20,One of them has to do with your health.
66,2018-08-20,"Promises, promises. How bold predictions could pose legal problems for Tesla and its CEO."
67,2018-08-20,"1. Pepsi makes a deal: PepsiCo is buying one of the world's top sparkling water brands, SodaStream, for $3.2 billion."
68,2018-08-20,"Rudy Giuliani was tapping into something real when he told Chuck Todd that ""truth isn't truth"" on Sunday's ""Meet the Press."""
69,2018-08-19,The Tesla CEO says there are no other options than working 120-hour weeks.
70,2018-08-19,Dorsey says he and his team are working extensively behind the scenes to stamp out some of the harassment and hate speech that has generated bad headlines lately.
71,2018-08-19,"President Trump said the Times' report that White House counsel Don McGahn is cooperating with the Mueller probe is ""fake."""
72,2018-08-17,"Bloomberg reports that the company is ""in the running"" to buy Landmark Theaters."
73,2018-08-17,Musk says he's working himself to the bone and relies on Ambien to sleep.
74,2018-08-17,President says requiring companies to report results twice a year rather than four times would save money and allow greater flexibility.
75,2018-08-17,"Flash floods and landslides have killed 164 people in Kerala in just 10 days, authorities said Friday, as torrential monsoon rains continued to batter the southern Indian state."
76,2018-08-17,Here's what you need to know about the markets before you start your business day.
77,2018-08-17,"The country's major players -- Baidu, Alibaba and Tencent -- have lost hundreds of billions of dollars in market value in the past few months."
78,2018-08-17,"An emotional Elon Musk has opened up to The New York Times about his difficult year, calling it ""excruciating."""
79,2018-08-17,"The Chinese yuan, which has fallen sharply against the US dollar, has become caught up in the trade fight between the two countries. How much control does Beijing have over it?"
80,2018-08-16,"Nordstrom showed there's still life in the department store world. Overall sales boomed, led by a big jump in digital."
81,2018-08-16,The company wowed Wall Street with solid gains in digital and groceries.
82,2018-08-16,Elon Musk wants to take Tesla private because he is tired of dealing with short-sellers and stock analysts. Getting rid of them could cause him bigger problems.
83,2018-08-16,Chipotle will retrain its entire staff after customers got sick at an Ohio restaurant last month.
84,2018-08-16,Elon Musk is a busy guy and his erratic tweeting has some investors nervous about the lack of a deep management bench at Tesla. It may be time for the company to hire a COO.
85,2018-08-16,The company keeps rolling out new changes to its subscription service.
86,2018-08-16,"JCPenney's latest results were terrible. Another big loss. Sales are down. And the company still needs a new CEO. If JCPenney can't do well when consumers are in great shape, will it ever turnaround?"
87,2018-08-16,Here's what you need to know about the markets before you start your business day.
88,2018-08-16,"Because Donald Trump is, well, Donald Trump, a lot of attention has been paid to his hostile takeover of the Republican Party -- and how he continues to consolidate that power."
89,2018-08-16,A lawsuit filed by ten current and former Tinder executives accuses former CEO Greg Blatt of groping and sexually harassing a vice president of the company. The suit also claims that Tinder's corporate parent did nothing about the incident because Blatt was a…
90,2018-08-15,"The oil industry is shelling out billions of dollars in a series of acquisitions in the Permian Basin, the hottest oilfield in the world."
91,2018-08-15,It might be time for savvy tech investors to start thinking outside the FAANG box.
92,2018-08-15,It might be time for savvy tech investors to start thinking outside the FAANG box.
93,2018-08-15,Constellation Brands just bought a 38% stake in cannabis company Canopy Growth. Don't count on marijuana-infused beers and other alcoholic beverages in the US just yet. But it's a big global growth opportunity.
94,2018-08-15,Elon Musk said Monday that Goldman is helping Tesla as it tries to go private.
95,2018-08-15,The key to negotiating a salary is knowing your value. That way you can feel confident in how much to ask for.
96,2018-08-15,Macy's had been a Wall Street darling lately but sales are slowing a bit. Consumers are still spending a lot though. Overall retail sales surged in July and it looks like Amazon (surprise!) was a big winner.
97,2018-08-15,The median pay for chief executives of the 100 most valuable companies on the London Stock Exchange increased 11% last year to £3.9 million ($5 million). Workers got a 2% hike.
98,2018-08-15,The company is polishing its 80-year-old crown jewel.
99,2018-08-15,Helios and Matheson reports jump in losses and limited cash on hand due to ongoing problems at MoviePass.
100,2018-08-15,Here's what you need to know about the markets before you start your business day.
101,2018-08-14,"An expert weighs in on ""Markets Now."""
102,2018-08-14,"The business of sports is more than just sneakers and beer. A fund focusing on companies that have relationships with baseball, football, basketball and hockey owns a hair salon stock, a trucking firm -- and Amazon."
103,2018-08-14,A new lawsuit alleges that the popular dating app's current owners manipulated the valuation of the company.
104,2018-08-14,A dangerous combination of economic and political forces has set off a meltdown in Turkey and other emerging markets.
105,2018-08-14,"As Elon Musk seeks to take Tesla private, its Chinese rival Nio is getting ready to go public in the United States."
106,2018-08-14,Here's what you need to know about the markets before you start your business day.
107,2018-08-14,Carl Icahn has given up on his attempt to sabotage Cigna's takeover of Express Scripts after shareholder advisory firms came out in favor of the deal.
108,2018-08-13,"The struggling pizza chain, reeling from racist remarks made by founder John Schnatter, is going to cut some fees and food prices for Papa John's store owners."
109,2018-08-13,Corporate America is growing practically nonstop thanks to massive tax cuts and a booming economy.
110,2018-08-13,Amazon's market value is now hovering around $940 billion and the company has a lot of momentum.
111,2018-08-13,Are you prepared for another downturn? Here's how to get your financial house in order.
112,2018-08-13,Here's what you need to know about the markets before you start your business day.
113,2018-08-13,Turkey's currency nosedived again Monday as fears deepened about the country's ability to deal with a crisis that has rattled markets around the world.
114,2018-08-12,"1. Shop until you drop: The economy is booming because unemployment is low and people are spending more of their paychecks at Walmart, Macy's, Home Depot and a bunch of other retailers that report earnings this week."
115,2018-08-11,Two new lawsuits accuse Tesla and its CEO Elon Musk of violating federal securities law by allegedly making false statements to boost the company's stock price.
116,2018-08-11,"Irwin Redlener and Jackie Ratner write that cities, especially with older housing stock, are particularly vulnerable to the extreme heat associated with climate change."
117,2018-08-10,"Driving around London, Samuel Burke interviews Via CEO Daniel Ramot to discuss the company's global expansion and how they get the vast majority of their riders to share rides instead of going solo."
118,2018-08-10,And the stock is surging on a big investment from a private equity firm.
119,2018-08-10,Here's how to know if self-employment is right for you.
120,2018-08-10,The international lender plans to issue what it says it the world's first global blockchain bond.
121,2018-08-10,The international lender plans to issue what it says it the world's first global blockchain bond.
122,2018-08-10,Here's what you need to know about the markets before you start your business day.
123,2018-08-10,Ryanair was forced to cancel 400 flights on Friday because of pilot strikes in some of its biggest markets.
124,2018-08-09,"Tronc said second quarter revenue was up from the same period last year, but the earnings were overshadowed by reports the company could be sold."
125,2018-08-09,Investors have serious doubts about Elon Musk's plan to take Tesla private.
126,2018-08-09,Chipotle's latest idea to woo customers back: Bacon.
127,2018-08-09,"The company has focused on making better clogs, expanded into sandals and closed underperforming stores."
128,2018-08-09,"IAC's stock is up 50% this year because of the huge success of Angie's List, Match, Tinder and Vimeo."
129,2018-08-09,"Roku, which went public in 2017, is beating expectations and winning over streaming viewers."
130,2018-08-09,Pandora's stock price collapsed by 50% so far this year as sales of its flagship product dwindle.
131,2018-08-09,Cinemark CEO Mark Zoradi says Movie Club offers a lot that you can't get with MoviePass.
132,2018-08-09,"MoviePass proved that film lovers are interested in a subscription service. But as that embattled company continues to experiment with its model, Cinemark thinks its rollover offer is the right monthly plan for film fans."
133,2018-08-09,Party City will sell Halloween costumes on Amazon.
134,2018-08-09,"1. Car trouble in Japan: Shares in Suzuki, Yamaha and Mazda took a hit on Thursday after Japanese regulators said the automakers had admitted to improper handling of fuel economy and emissions tests."
135,2018-08-09,"An informal council is exerting sweeping influence over the US Department of Veterans Affairs from President Trump's Mar-a-Lago club, a former VA official confirmed to CNN, corroborating details first reported Tuesday by ProPublica."
136,2018-08-08,"New York Rep. Chris Collins surged into the national consciousness on Wednesday, when he was indicted on charges of insider trading in relation to a company named Innate Immunotherapeutics Limited, a company in which he is the largest shareholder and, until r…"
137,2018-08-08,The Twinkie maker had a less-than-sweet earnings report.
138,2018-08-08,Don't be fooled by the recent poor performance of Chinese tech stocks.
139,2018-08-08,Elon Musk seems to think that going private is a no-brainer for Tesla. But is it really that easy? Some long-term shareholders may balk at selling out for only about 10% more than the stock's current price.
140,2018-08-08,"Musk wants to be free from the pressures of Wall Street, but his plan faces big challenges."
141,2018-08-08,CNN FDA expands recall of blood pressure drug valsartan due to cancer concern CNN (CNN) The US Food and Drug Administration expanded the list of drugs being recalled that contain valsartan. The drug is used as a component in a set of drugs used to treat heart…
142,2018-08-08,Read full story for latest details.
143,2018-08-08,"1. Tesla bombshell: Elon Musk said Tuesday that he wants to take Tesla private, sending shares in the automaker up 11% to $379."
144,2018-08-08,"When Jordan Spieth romped to the Masters title as a 21-year-old in 2015, Sports Illustrated's cover screamed, ""The Spieth era begins now."""
145,2018-08-08,"China Tower, which made its market debut in Hong Kong on Wednesday, is central to China's goal of becoming a global leader in 5G technology."
146,2018-08-07,"When he started, people wondered whether he was joking. When it ended, Tesla's future was upended."
147,2018-08-07,Papa John's said same-store sales declined 6.1% in North America in the second quarter because of controversy surrounding founder John Schnatter's use of a racial slur.
148,2018-08-07,Snapchat's revenue climbed 44% year over year even as it lost users in the last quarter because of a rocky app redesign and increased competition from rivals.
149,2018-08-07,"Tesla posted an email to employees from CEO Elon Musk on Tuesday afternoon. About three hours earlier, Musk started a firestorm when he tweeted that he had secured funding to take the company private. Here is Musk's complete email."
150,2018-08-07,"MoviePass CEO Mitch Lowe will join CNN's Christine Romans for a live interview on ""Markets Now"" on Wednesday."
151,2018-08-07,Real estate information site Zillow is no longer content to just be the place you go to in order to see what your house is worth. The company just bought a mortgage bank. But Wall Street is nervous about the move into home loans.
152,2018-08-07,"PepsiCo CEO Indra Nooyi, who is stepping down in October, leaves behind a nimbler company, more responsive to changing tastes."
153,2018-08-07,Weight Watchers shares plunged after it reported a drop in subscribers from the first quarter to the second quarter. But that always happens. Investors are overreacting. The company is still healthy thanks to Oprah's endorsement.
154,2018-08-07,It's a tactic that certainly deserves some consideration.
155,2018-08-07,"Ady Barkan writes that, as a person living with a chronic illness, he was aghast that the Trump administration is proposing yet more tax breaks for the rich, which would make Republican proposals to slash Medicaid and Medicare even more threatening."
156,2018-08-07,"Activist investor Carl Icahn is urging other Cigna shareholders to vote against its deal to buy Express Scripts,"
157,2018-08-07,Here's what you need to know about the markets before you start your business day.
158,2018-08-06,"The struggling movie subscription just changed the rules. Your questions, answered."
159,2018-08-06,SeaWorld has struggled for the past few years as the company's treatment of its animals was thrust into the spotlight in an unflattering documentary. But the worst may be over.
160,2018-08-06,The company is trying to stop burning so much cash.
161,2018-08-06,Here's what you need to know about the markets before you start your business day.
162,2018-08-06,"One of the world's largest motorcycle rallies in the world at Sturgis, South Dakota, is becoming a celebration of Donald Trump, over the mighty Harley-Davidson."
163,2018-08-05,The fates of two giant health care mergers are suddenly in question.
164,2018-08-04,Warren Buffett's investing firm revealed it's stake in Apple is now worth nearly $50 billion. The firm also revealed a soaring uptick in operating earnings when it posted quarterly results Saturday.
