,Date,Snippet
0,20180829,"Australia's TPG Telecom Ltd agreed a merger with Vodafone Group's Australian business on Wednesday, easing competition in the cut-throat sector and buying scale to take on bigger rivals Telstra Corp Ltd and Optus."
1,20180829,
2,20180829,U.S. stocks climbed Wednesday behind gains for big technology companies and Amazon. The S&amp;P 500 and Nasdaq finished at record highs for the fourth day in a row.
3,20180829,Stocks that moved substantially or traded heavily Wednesday:
4,20180829,Here’s what you need to know to start your day.
5,20180829,"It started with President Donald Trump's attacks on Canadian dairy farmers. Then Washington slapped tariffs on Canadian steel, citing national security. There was that disastrous G-7 summit in Quebec. Now it's a new North American free trade agree..."
6,20180829,An online army of skeptics and amateur sleuths that has spent years promoting bets against Tesla Inc senses an opportunity to renew pressure on the electric carmaker after the failure of Chief Executive Elon Musk&#8217;s plan to take it private.
7,20180829,"For some, preparing a meal is time well spent. For others, it’s a total waste."
8,20180829,British Prime Minister Theresa May urged Nigeria on Wednesday to tap into the City of London's financial expertise as she sought to build a new trading relationship with Africa's biggest economy and most populous nation.
9,20180829,"Amundi, Europe's largest asset manager, is betting the U.S. stock market's rally will continue through the second half of this year, though a slowdown is coming and European markets may outperform in 2019 and 2020."
10,20180829,"Thousands of people paid their respects to U.S. Sen. John McCain on Wednesday, standing for hours in the broiling Arizona sun before filing past the flag-draped casket that his tearful wife, Cindy, lovingly pressed her face against after a ceremon..."
11,20180829,"On a drizzling summer afternoon in South Portland, marine biologist Walt Golet is helping attach a quarter-ton Atlantic bluefin tuna to a heavy crane so it can be weighed as part of New England's premier tournament for the giant fish. And this yea..."
12,20180829,More than 100 buildings and landmarks across the United States and Canada will be awash in colors in support of cancer research.
13,20180829,"Bank of Japan board member Hitoshi Suzuki said on Wednesday central bankers need to pay more attention to how the bond market is affected by its ultra loose monetary policy, which is likely to be in place for a long time."
14,20180829,"Here are some of the best apps and services to help keep your money on track, whether you’ve never created a budget or you’re a seasoned investor."
15,20180828,A recent revision to an opinion in an insider trading case could make prosecutors’ jobs easier in the case against the congressman from upstate New York.
16,20180828,"Demos Parneros, the former Barnes & Noble chief executive, filed a lawsuit on Tuesday claiming breach of contract and defamation after he was fired last month."
17,20180828,
18,20180828,"Major U.S. stock indexes wobbled and finished mostly higher Tuesday, led by technology companies and a handful of retailers."
19,20180828,Stocks that moved substantially or traded heavily on Tuesday:
20,20180828,"Elon Musk's take-private plans for Tesla Inc have evaporated, but the company's looming debt needs remain. "
21,20180828,"Canada's minister of foreign affairs is scheduled to hold talks in Washington on Tuesday in hopes of reaching a trade agreement with the United States, an urgent response after President Donald Trump announced a deal with Mexico on Monday that lef..."
22,20180828,"Japan's SoftBank Group will invest just over $100 million in a joint venture with the international arm of China's ZhongAn Online P&amp;C Insurance, a ZhongAn executive said."
23,20180827,
24,20180827,"After deciding not to try to remove its shares from the market, the electric carmaker must focus on some stubborn challenges while facing new ones."
25,20180827,Stocks that moved substantially or traded heavily Monday:
26,20180827,"Stocks posted solid gains on Monday after the White House said it reached a preliminary agreement with Mexico on replacing NAFTA. The Nasdaq composite index topped 8,000 for the first time."
27,20180827,Here’s what you need to know to start your day.
28,20180827,Uber is teaming up with Toyota to build self-driving cars for its ride-hailing service after its efforts to do it alone were derailed by a fatal collision and allegations of high-tech theft.
29,20180827,"Amazon is taking an out-of-the box approach to answering its critics &#8212; paying workers to be ""ambassadors"" and tweet full-time about how satisfied they were at their jobs."
30,20180826,The matchup was a mismatch. And it ended predictably: with Pittsburgh Steelers Pro Bowl defensive end Cameron Heyward shedding Tennessee Titans rookie guard Aaron Stinnie and driving quarterback Blaine Gabbert into the ground.
31,20180826,"Tropical Storm Lane, greatly diminished from the major hurricane it once was, drifted away from the Hawaiian coast on Saturday, but lingering showers threatened to trigger more flooding and landslides."
32,20180826,"Hurricane Lane secured its place in the history books before it quickly dissipated into a tropical storm and moved off from Hawaii. The storm caused damage, mostly on the Big Island, where rivers raged near Hilo and nearly 40 people had to be resc..."
33,20180826,"It had not been the smoothest of seasons for the Dodgers' Justin Turner. First he started six weeks late because of a broken wrist. When he returned, his power seemed wanting. Then he strained a groin and was out another 10 days."
34,20180825,"The chief executive decided that rather than being a prayer answered, funding for a buyout would present a host of new troubles, people close to the events say."
35,20180825,It is infuriating that officials have put the welfare of most Americans at risk to enrich the wealthiest few.
36,20180825,"First it was the shocking tweet that funding was secured and Tesla may go private, then a statement that the money wasn't locked down after all. Two weeks later it's never mind, the whole deal is off."
37,20180825,Federal authorities' shift away from separating immigrant families caught in the U.S. illegally now means that many parents and children are released and fitted with electronic monitoring devices &#8212; which both the government and advocacy grou...
38,20180825,"Federal authorities' shift away from separating immigrant families caught in the U.S. illegally now means that many parents and children are quickly released, only to be fitted with electronic monitoring devices &#8212; a practice which both the g..."
39,20180825,"The special counsel, Robert S. Mueller III, has approached law enforcement consistently for decades: leading aggressive investigations marked by adherence to precedent and higher office."
40,20180824,"Investors bought back into U.S. stocks this week which set their longest-ever market rally, although risks ahead spurred anxiety over how much longer the ageing bull can last, Bank of America Merrill Lynch strategists said on Friday."
41,20180824,"Shares of Gap Inc fell 8 pct in premarket trading on Friday, a day after the company's namesake brand posted another bigger-than-expected drop in comparable sales, raising concerns around the unit's turnaround plan."
42,20180824,"New orders for key U.S.-made capital goods increased more than expected in July and growth in shipments held firm, signalling that business investment started the third quarter on a strong note."
43,20180824,The latest on developments in financial markets (all times local):
44,20180824,"You could say British comic Elf Lyons is one half of a double-act &#8211; the other half is her father Gerard Lyons, a prominent economist and former advisor to politician Boris Johnson."
45,20180824,"The benchmark S&amp;P 500 stock index clinched its longest bull-market run on Friday, closing above its previous January high, as Federal Reserve Chairman Jerome Powell affirmed the U.S. central bank's current pace of rate hikes."
46,20180824,"Fewer than half of Americans expect President Donald Trump's tariffs to do much to help the U.S. economy, but their widespread unpopularity hasn't led most Republicans to stray from supporting the president's trade policy as the 2018 midterm elect..."
47,20180824,The hitmaker is joined by Migos for several concerts; a dancers’ musical is set to close; and a Boston exhibition highlights war art.
48,20180824,The regulator’s investigation has the potential to move down a number of paths. The question is how this might play out for Tesla and Mr. Musk.
49,20180824,Figuring out the numbers required to remove the automaker from the stock markets is complex — and perhaps even unmoored from reality.
50,20180823,"JPMorgan Chase &amp; Co, in a bid to lure customers from the discount brokerage industry, said on Tuesday it will begin offering free stock trades for self-managed accounts through its Chase mobile banking app starting next week. "
51,20180823,"How much economic damage will global warming cause? It’s a tough calculation, and the answer, to a big extent, determines how easily the government can roll back environmental rules."
52,20180823,"Layoffs came in waves at Westin Automotive's Minnesota plant as production shifted to low-wage factories in Asia, ultimately pushing more than 200 U.S. workers &#8212; many over age 50 &#8212; out of once-reliable jobs."
53,20180823,"The storm is threatening to be the first hurricane to make landfall in Hawaii since 1992, but officials are warning of life-threatening impacts even if it skirts the islands."
54,20180823,The current bull market for U.S. stocks is now the longest of all time. How much longer might it last?
55,20180823,"The number of Americans filing for unemployment benefits fell last week, a sign the labour market was holding firm despite tensions between the United States and its trading partners that have led to tit-for-tat tariffs."
56,20180823,"Just a bit north of the city, a castle and an estate, kayaking and hiking; plus a look at life before modern amenities, at the Tenement Museum."
57,20180823,The latest on developments in financial markets (all times local):
58,20180823,"Stocks go up when the economy and earnings do well, but there were other reasons for the current upswing."
59,20180823,"A German news media report has stirred new speculation about who will succeed Mario Draghi as head of the European Central Bank, one of the world's most powerful economic policy posts."
60,20180822,"To reach a final deal on the denuclearization of North Korea, the Trump administration must give up something substantial. But Washington isn’t budging. "
61,20180822,"The oil giant has put its plans for an initial public offering on hold, as it focuses on efforts to buy a stake in a Saudi chemical maker."
62,20180822,U.S. Sen. Elizabeth Warren has posted 10 years of her tax returns online.
63,20180822,Here’s what you need to know at the end of the day.
64,20180822,
65,20180822,Wall Street’s decade-long surge raises a reasonable question for many people. Is it time to take some money off the table? Here’s a checklist to help you decide.
66,20180822,A grocery stock clerk's whose act of kindness toward an autistic 17-year-old went viral last month has been given a new car.
67,20180822,The fashion designer Jeana Sohn celebrated her debut collection in a friend’s Laurel Canyon garden — and shared her tips for entertaining.
68,20180822,"Proxy adviser Glass Lewis &amp; Co has recommended that shareholders in British sportswear retailer Sports Direct International Plc vote against some directors, including Chief Executive Mike Ashley and Chairman Keith Hellawell, at the company's a..."
69,20180822,"Wall Street notched another milestone Wednesday as the bull market in U.S. stocks set a record for longevity, beating the bull market of the 1990s that ended in the dot-com collapse in 2000."
70,20180822,"By one measure, stocks crossed a major threshold on Wednesday. But the financial gains of the nearly decade-long run have been concentrated among the already wealthy."
71,20180822,"Danish hearing aid company GN Store Nord raised its 2018 sales and profit forecast for its headset business on Wednesday, sending its shares 4 percent higher. "
72,20180822,European stock markets ended broadly flat on Wednesday in a session of choppy trading amidst trade talks between the U.S. and China and uncertainty over U.S. President Donald Trump's legal woes.   
73,20180822,Biotech group Argenx said on Wednesday U.S. pharma group AbbVie had exercised an exclusive option to develop and commercialise one of its experimental drugs which could lead to payments of up to $625 million(490.08 million pounds).
74,20180822,Australian Prime Minister Malcolm Turnbull clung to power on Wednesday as rebel Liberal party lawmakers pressed for a second leadership contest just a day after he narrowly survived a challenge from former home minister Peter Dutton.
75,20180822,The bull market in U.S. stocks is now the longest on record.
76,20180822,"Avast, the cyber security firm that listed in May,  said margins would improve this year after a first half that saw adjusted revenue grow 8.5 percent to $394.3 million(309.18 million pounds)."
77,20180822,"British floor coverings distributor Headlam Group warned on Wednesday its full-year results would likely be at the lower end of analysts' expectations following a drop in first-half underlying sales, sending its shares down 6.6 percent."
78,20180822,"Hawaii residents emptied store shelves Wednesday, claimed the last sheets of plywood to board up windows and drained gas pumps as Hurricane Lane churned toward the state."
