,Date,Description
0,2018-08-29,"The parent company of SurveyMonkey, SVMK Inc., gave potential investors a first look at the online survey company’s financials."
1,2018-08-29,Soaring profits at smaller publicly traded companies are driving the Russell 2000 to new records as investors bet U.S. economic strength will boost smaller companies while trade frictions hit their multinational counterparts.
2,2018-08-29,"Salesforce.com Inc. reported broad-based sales growth and grew its backlog of business during its latest quarter, as the business-software company digests its largest-ever acquisition and begins work under a new leadership structure."
3,2018-08-29,"American Eagle Outfitters reported softer-than-expected sales growth in its highflying “every girl” brand, pushing the apparel and accessories retailer’s stock price down 8%."
4,2018-08-29,Brown-Forman lowered its profit outlook because of the uncertainty and added costs created by recently enacted EU tariffs on U.S. whiskey.
5,2018-08-29,"WSJ City is the app that delivers concise, smart news on business and finance for mobile. Download for iPhone or Android. Here’s essential reading on today’s developments. MUST READS FROM WSJ CITY Turkey’s central bank took steps to undo some of the emergency…"
6,2018-08-29,"Amid a boom in the biotechnology industry, Wall Street analysts have become an important way for banks to gain dealmaking credibility."
7,2018-08-29,"To research his new novel, ‘Lake Success,’ about a hedge-fund manager who loses everything, Gary Shteyngart spent four years among players in high finance."
8,2018-08-29,"A Chinese Rival to Tesla Inc., Launched a Stock Sale That Could Raise $1.32 Billion"
9,2018-08-29,"Since Salesforce relies on subscriptions to its web-based, on-demand software used by business customers, investors look closely at billings to get insight into future results."
10,2018-08-29,Aston Martin launched plans for a stock-market listing that could value the maker of the famed sports car driven by James Bond at around $6 billion.
11,2018-08-29,Higher paydays come as the drug-development industry raises capital at a rapid clip and undergoes a surge in mergers.
12,2018-08-29,Sears expanded its program to install and balance tires for customers who buy tires on Amazon’s sites.
13,2018-08-29,"Chinese electric-vehicle maker NIO launched a U.S. stock sale that could raise up to $1.32 billion, moving to tap the public markets before generating any substantial revenue."
14,2018-08-28,"Tesla may be a wild ride, but everyone knows the financial risks."
15,2018-08-28,The maker of the famed sports car favored by secret agent 007 is expected to announce as early as Wednesday plans for a stock-market listing that would value the company at more than $6 billion.
16,2018-08-28,Jeffrey “Meatloaf” Scales cruises all over the city on his motorcycle—the third Harley he has customized to express his own personality.
17,2018-08-28,"Tiffany & Co. reported soaring profit and sales in its latest quarter, underscoring the willingness of well-heeled shoppers to flex their spending muscle with luxury brands."
18,2018-08-28,"Best Buy’s same-store sales and revenue rose in the latest quarter, prompting the electronics retailer to raise its full-year sales and earnings guidance."
19,2018-08-28,A scorching run by two of the best-performing stocks in recent years is turning heads.
20,2018-08-28,Citizens in Iran Are Using the Greenback as Tehran Faces Tightening U.S. Sanctions
21,2018-08-28,"World Wrestling Entertainment shares have surged over optimism about a new content deal. Spectacular reversals have happened before, but the shares aren’t particularly expensive on future earnings."
22,2018-08-28,"Wall Street Journal Global Stocks Rise as US, Mexico Near Trade Deal Wall Street Journal Global stocks rose Tuesday as the U.S. and Mexico neared a deal to revise the North American Free Trade Agreement, although the proposed pact threatened to leave out Cana…"
23,2018-08-28,"Good Morning! Today’s issue looks at the trade agreement reached between the U.S. and Mexico, the implications for Canada, the role of Congress and of Trump’s son-in-law, and the latitude the U.S. retains to hit imports, for example of newsprint. TRUMP NOTCHE…"
24,2018-08-28,"Warren Buffett’s conglomerate is set to invest between $285 million and $357 million into One97 Communications, the parent company of India’s largest mobile-payments firm Paytm."
25,2018-08-27,The record underscores the dominant role technology shares like Netflix and Amazon have played in propelling the U.S. stock market past its global peers this year.
26,2018-08-27,President Trump’s trade policies hurt American firms and the people who want to buy from them.
27,2018-08-27,"Now that Elon Musk has squashed efforts to take Tesla private, the spotlight will turn back to its operational challenges, namely whether it can maintain its grueling Model 3 production pace and generate cash to stave off fundraising."
28,2018-08-27,"Manafort Sought Deal in Next Trial... (Second column, 11th story, link ) Related stories: ROGER STONE: I'LL BE INDICTED... 'Sleeper' case could torpedo Mueller report... CASHIN: Stock market betting on Pence should legal issues take dark turn... Republicans C…"
29,2018-08-27,Software maker’s strong performance gets overshadowed by uncertainty of massive deal.
30,2018-08-27,"Major U.S. stock indexes crested higher Monday, sending the Nasdaq Composite past the 8000 mark for the first time as trade tensions eased."
31,2018-08-27,"A daily digest of The Wall Street Journal’s coverage of energy companies, commodity markets and the forces that shape them. Send us tips, suggestions and complaints: EnergyJournal@wsj.com PG&E IDENTIFIED AS UTILITY THAT LOST CONTROL OF CONFIDENTIAL INFORMATIO…"
