Date,Date,CNN VS (Day_Lag=-1)
2018-06-01,2018-06-01,0.0314
2018-06-02,2018-06-02,-0.1247
2018-06-04,2018-06-04,-0.2874
2018-06-05,2018-06-05,0.2353
2018-06-06,2018-06-06,0.1294
2018-06-07,2018-06-07,0.1299
2018-06-08,2018-06-08,-0.068
2018-06-09,2018-06-09,-0.2614
2018-06-10,2018-06-10,0.6908
2018-06-11,2018-06-11,0.34
2018-06-12,2018-06-12,0.1138
2018-06-13,2018-06-13,0.3059
2018-06-14,2018-06-14,0.1673
2018-06-15,2018-06-15,0.1037
2018-06-16,2018-06-16,0.0
2018-06-19,2018-06-19,-0.0757
2018-06-20,2018-06-20,0.0981
2018-06-21,2018-06-21,-0.1629
2018-06-22,2018-06-22,-0.0906
2018-06-23,2018-06-23,0.0563
2018-06-24,2018-06-24,0.0
2018-06-25,2018-06-25,-0.1719
2018-06-26,2018-06-26,0.0363
2018-06-27,2018-06-27,-0.1808
2018-06-28,2018-06-28,0.2119
2018-06-29,2018-06-29,-0.2891
2018-06-30,2018-06-30,0.1357
2018-07-02,2018-07-02,0.2747
2018-07-03,2018-07-03,-0.0784
2018-07-04,2018-07-04,0.0
2018-07-05,2018-07-05,-0.3612
2018-07-06,2018-07-06,0.0362
2018-07-07,2018-07-07,0.0674
2018-07-08,2018-07-08,0.2378
2018-07-09,2018-07-09,0.0554
2018-07-10,2018-07-10,0.2061
2018-07-11,2018-07-11,-0.0787
2018-07-12,2018-07-12,-0.1442
2018-07-13,2018-07-13,-0.0769
2018-07-14,2018-07-14,-0.057
2018-07-16,2018-07-16,-0.4019
2018-07-17,2018-07-17,0.149
2018-07-18,2018-07-18,0.0597
2018-07-19,2018-07-19,-0.0456
2018-07-20,2018-07-20,-0.009
2018-07-21,2018-07-21,-0.0305
2018-07-24,2018-07-24,0.2325
2018-07-25,2018-07-25,0.0677
2018-07-26,2018-07-26,0.0066
2018-07-27,2018-07-27,0.0595
2018-07-28,2018-07-28,-0.1605
2018-07-29,2018-07-29,0.3818
2018-07-30,2018-07-30,-0.5423
2018-07-31,2018-07-31,-0.065
2018-08-01,2018-08-01,0.0555
2018-08-02,2018-08-02,0.1997
2018-08-03,2018-08-03,0.0389
2018-08-04,2018-08-04,-0.0533
2018-08-05,2018-08-05,0.2263
2018-08-06,2018-08-06,0.4939
2018-08-07,2018-08-07,-0.3055
2018-08-08,2018-08-08,0.1188
2018-08-09,2018-08-09,-0.037
2018-08-10,2018-08-10,0.1998
2018-08-11,2018-08-11,-0.066
2018-08-12,2018-08-12,-0.2722
2018-08-13,2018-08-13,-0.7269
2018-08-14,2018-08-14,-0.1017
2018-08-15,2018-08-15,-0.0009
2018-08-16,2018-08-16,0.2948
2018-08-17,2018-08-17,-0.1712
2018-08-18,2018-08-18,-0.0723
2018-08-20,2018-08-20,-0.3965
2018-08-21,2018-08-21,0.4447
2018-08-22,2018-08-22,0.4258
2018-08-23,2018-08-23,0.0257
2018-08-24,2018-08-24,0.1709
2018-08-25,2018-08-25,0.1234
2018-08-26,2018-08-26,0.2202
2018-08-27,2018-08-27,-0.0216
2018-08-28,2018-08-28,0.237
2018-08-29,2018-08-29,-0.0195
2018-08-30,2018-08-30,-0.0576
