Date,Date,NYT VS (Day_Lag=-1)
2018-06-02,2018-06-02,0.1387
2018-06-06,2018-06-06,0.0069
2018-06-08,2018-06-08,0.1468
2018-06-09,2018-06-09,0.0602
2018-06-13,2018-06-13,-0.0566
2018-06-14,2018-06-14,-0.1581
2018-06-16,2018-06-16,-0.0226
2018-06-17,2018-06-17,-0.0364
2018-06-18,2018-06-18,0.7717
2018-06-20,2018-06-20,-0.1426
2018-06-21,2018-06-21,0.0365
2018-06-22,2018-06-22,0.0252
2018-06-23,2018-06-23,0.0
2018-06-27,2018-06-27,-0.0307
2018-06-28,2018-06-28,0.3676
2018-06-30,2018-06-30,-0.0841
2018-07-01,2018-07-01,0.3484
2018-07-05,2018-07-05,-0.0656
2018-07-06,2018-07-06,0.3665
2018-07-09,2018-07-09,0.125
2018-07-10,2018-07-10,0.1178
2018-07-12,2018-07-12,-0.0384
2018-07-16,2018-07-16,-0.1275
2018-07-17,2018-07-17,-0.0463
2018-07-19,2018-07-19,-0.2087
2018-07-21,2018-07-21,-0.2245
2018-07-22,2018-07-22,0.0
2018-07-23,2018-07-23,-0.2081
2018-07-24,2018-07-24,0.029
2018-07-26,2018-07-26,0.8264
2018-07-27,2018-07-27,-0.1628
2018-07-28,2018-07-28,0.0365
2018-07-29,2018-07-29,0.0516
2018-08-01,2018-08-01,0.0599
2018-08-02,2018-08-02,0.1885
2018-08-04,2018-08-04,-0.6399
2018-08-05,2018-08-05,0.123
2018-08-06,2018-08-06,0.2914
2018-08-07,2018-08-07,0.3502
2018-08-09,2018-08-09,0.0691
2018-08-10,2018-08-10,0.296
2018-08-13,2018-08-13,-0.0895
2018-08-14,2018-08-14,-0.1147
2018-08-17,2018-08-17,0.0986
2018-08-18,2018-08-18,-0.0342
2018-08-21,2018-08-21,0.1516
2018-08-22,2018-08-22,0.1597
2018-08-23,2018-08-23,0.0963
2018-08-24,2018-08-24,0.1187
2018-08-25,2018-08-25,0.1206
2018-08-26,2018-08-26,-0.0933
2018-08-27,2018-08-27,-0.4573
2018-08-28,2018-08-28,0.0252
2018-08-29,2018-08-29,0.0417
2018-08-30,2018-08-30,0.1341
