Date,Date,WSJ VS (Day_Lag=-1)
2018-06-01,2018-06-01,0.2401
2018-06-02,2018-06-02,0.3177
2018-06-03,2018-06-03,0.0594
2018-06-04,2018-06-04,0.1923
2018-06-05,2018-06-05,0.1159
2018-06-06,2018-06-06,0.2048
2018-06-07,2018-06-07,0.371
2018-06-08,2018-06-08,0.2277
2018-06-09,2018-06-09,0.1603
2018-06-10,2018-06-10,0.4767
2018-06-11,2018-06-11,0.1483
2018-06-12,2018-06-12,0.0963
2018-06-13,2018-06-13,0.1921
2018-06-14,2018-06-14,0.2882
2018-06-15,2018-06-15,0.0503
2018-06-16,2018-06-16,0.1965
2018-06-17,2018-06-17,0.5501
2018-06-18,2018-06-18,0.3032
2018-06-19,2018-06-19,0.136
2018-06-20,2018-06-20,0.0725
2018-06-21,2018-06-21,0.0204
2018-06-22,2018-06-22,0.2048
2018-06-23,2018-06-23,0.1345
2018-06-24,2018-06-24,-0.0116
2018-06-25,2018-06-25,0.1463
2018-06-26,2018-06-26,0.2493
2018-06-27,2018-06-27,0.1944
2018-06-28,2018-06-28,0.3503
2018-06-29,2018-06-29,0.1862
2018-06-30,2018-06-30,0.3081
2018-07-01,2018-07-01,0.5532
2018-07-02,2018-07-02,0.2349
2018-07-03,2018-07-03,0.0094
2018-07-04,2018-07-04,0.1168
2018-07-05,2018-07-05,-0.2963
2018-07-06,2018-07-06,0.1897
2018-07-07,2018-07-07,-0.0914
2018-07-09,2018-07-09,0.2238
2018-07-10,2018-07-10,0.0417
2018-07-11,2018-07-11,0.1393
2018-07-12,2018-07-12,0.1004
2018-07-13,2018-07-13,0.4208
2018-07-14,2018-07-14,0.1611
2018-07-15,2018-07-15,0.5423
2018-07-16,2018-07-16,0.0248
2018-07-17,2018-07-17,0.0435
2018-07-18,2018-07-18,0.0444
2018-07-19,2018-07-19,0.3283
2018-07-20,2018-07-20,0.0649
2018-07-21,2018-07-21,0.0985
2018-07-22,2018-07-22,0.5994
2018-07-23,2018-07-23,-0.5999
2018-07-24,2018-07-24,0.1634
2018-07-25,2018-07-25,0.1541
2018-07-26,2018-07-26,0.1539
2018-07-27,2018-07-27,0.2923
2018-07-28,2018-07-28,0.0968
2018-07-30,2018-07-30,0.2943
2018-07-31,2018-07-31,-0.0756
2018-08-01,2018-08-01,0.093
2018-08-02,2018-08-02,0.3072
2018-08-03,2018-08-03,0.2
2018-08-04,2018-08-04,0.1686
2018-08-05,2018-08-05,0.3931
2018-08-06,2018-08-06,0.0153
2018-08-07,2018-08-07,0.212
2018-08-08,2018-08-08,0.1194
2018-08-09,2018-08-09,0.0948
2018-08-10,2018-08-10,0.0231
2018-08-11,2018-08-11,0.1302
2018-08-12,2018-08-12,-0.2077
2018-08-13,2018-08-13,0.0
2018-08-14,2018-08-14,0.0225
2018-08-15,2018-08-15,0.0297
2018-08-16,2018-08-16,0.0879
2018-08-17,2018-08-17,-0.0968
2018-08-18,2018-08-18,0.1298
2018-08-19,2018-08-19,-0.0954
2018-08-20,2018-08-20,-0.296
2018-08-21,2018-08-21,0.015
2018-08-22,2018-08-22,0.1292
2018-08-23,2018-08-23,-0.0462
2018-08-24,2018-08-24,-0.0745
2018-08-25,2018-08-25,0.1503
2018-08-26,2018-08-26,-0.25
2018-08-27,2018-08-27,0.3502
2018-08-28,2018-08-28,0.0768
2018-08-29,2018-08-29,0.3222
2018-08-30,2018-08-30,0.2693
