,Date,Description
0,2018-08-29,"Rep. Adam Schiff of California, the top Democrat on the House Intelligence Committee, said Wednesday that White House Counsel Don McGahn's resignation shows the White House is ""in full attack mode on the special counsel."""
1,2018-08-29,"The Russian company Concord Management and Consulting has latched on to the idea that special counsel Robert Mueller is conducting a ""witch hunt,"" and accused him in a court filing Wednesday of indicting the company because of anti-Russian political motivatio…"
2,2018-08-29,"President Donald Trump issued a White House statement about North Korea on Wednesday evening via Twitter, casting blame on China for difficulties in the US-North Korea relationship and asserting there is ""no reason at this time"" to spend money on joint milita…"
3,2018-08-29,"The West Virginia Supreme Court on Wednesday denied Don Blankenship a spot on the Senate general election ballot in November, after he lost the Republican primary earlier this year."
4,2018-08-29,"President Trump said his administration ""did a fantastic job in Puerto Rico"" and his praise comes just one day after the Puerto Rican government adjusted its official death toll from Hurricane Maria from 64 to almost 3,000."
5,2018-08-29,An FBI official said Wednesday the bureau has not found any evidence to back up a claim made by a conservative news organization and spread by President Donald Trump that Hillary Clinton's private email server was hacked by a Chinese-owned company.
6,2018-08-29,"Sen. Lindsey Graham said Wednesday that President Donald Trump called him after he delivered an emotional farewell to Sen. John McCain on the Senate floor, telling the South Carolina Republican he ""did right by his friend."""
7,2018-08-29,"President Donald Trump, facing a drastically revised death toll in Puerto Rico a year after dual hurricanes devastated the island, offered a still-rosy outlook of his administration's handling of the disaster on Wednesday."
8,2018-08-29,
9,2018-08-29,"When Sasha and Malia Obama prepared to leave the White House in January 2017, they received a letter from their predecessors, Barbara Bush and Jenna Bush-Hager."
10,2018-08-29,The newly announced preliminary trade deal with Mexico is a welcome breakthrough in the Trump administration's trade strategy. It should benefit workers and consumers in both countries and should provide needed stability to the Mexican economy.
11,2018-08-29,"White House Counsel Don McGahn, the former long-haired campaign finance lawyer, has become an effective, if unlikely, leader of a judicial juggernaut destined to be one of President Donald Trump's most enduring legacies."
12,2018-08-29,"Something changed in Pence at his liberal arts college, where classmates say he became rigid and doctrinaire, moving steadily toward a form of evangelicalism that reserves heaven for a certain type of believer and marries theology to Republican politics, writ…"
13,2018-08-29,"Su victoria destaca que el partido Demócrata que adopta la juventud, la energía y las posturas políticas progresistas."
14,2018-08-29,"Richard Painter explains why the change in plans for the new FBI headquarters, across from Trump International Hotel in Washington, highlights Congress' failure to hold the President to account on his potential financial conflicts of interest."
15,2018-08-29,"“La clase política de Puerto Rico prefirió bailar al son que Donald Trump tocaba”, dijo la alcaldesa de Puerto Rico Carmen Yulín, en una entrevista con CNN en Español este miércoles en la que dijo que el presidente de EE.UU., Donald Trump, falló en ayudar a l…"
16,2018-08-29,"Sen. Lindsey Graham said Wednesday that President Donald Trump called him after he delivered an emotional farewell to Sen. John McCain on the Senate floor, telling the South Carolina Republican he ""did right by his friend."""
17,2018-08-29,Sen. Lindsey Graham (R-SC) says that President Donald Trump gave him a call after Graham gave an emotional tribute to his friend Sen. John McCain on the Senate floor.
18,2018-08-29,The trade war is coming for American bourbon.
19,2018-08-29,"Paul Manafort has again asked to move an upcoming criminal trial to Roanoke, Virginia, as he prepares for a second trial before a jury in Washington, DC."
20,2018-08-29,"Cynthia Nixon is no stranger to the stage, but she's never before had a platform quite like this."
21,2018-08-29,"The International Trade Commission found that the imports of Canadian paper do not hurt US producers, handing big win for newspaper industry."
22,2018-08-29,"Russian President Vladimir Putin touched a political third rail on Wednesday, and it had nothing to do with election meddling, Cold War theatrics or his relationship with US President Donald Trump."
23,2018-08-29,Reps. Martha McSally and Kyrsten Sinema are battling to be the first woman from Arizona in the US Senate in what's set to be one of the highest-profile midterm races.
24,2018-08-29,Three economists offer their takes on how the stock market would react if President Trump were to be impeached.
25,2018-08-29,La nueva cifra de muertos en Puerto Rico por el huracán María está convirtiendo a la tormenta en uno de los huracanes más letales en la historia de los Estados Unidos. MIRA: Omarosa asegura que Trump y Kelly se refirieron a los puertorriqueños en términos des…
26,2018-08-29,"A second Trump Organization employee discussed a potential immunity deal with the federal prosecutors who charged Michael Cohen, sources say"
27,2018-08-29,"The Mayor of San Juan, Puerto Rico, said Wednesday that bureaucracy and inefficiency across local and federal government entities are to blame for the deaths of nearly 3,000 on the island in the wake of Hurricane Maria, which came to light as part of a newly …"
28,2018-08-29,President Trump tweeted that he gave his approval for White House counsel Don McGahn to sit down with special counsel Robert Mueller's team.
29,2018-08-29,CNN political analyst and New York Times reporter Maggie Haberman talks about the current relationship between White House counsel Don McGahn and President Donald Trump.
30,2018-08-29,President Donald Trump said Wednesday that Don McGahn will leave his job as White House counsel this fall following Supreme Court Justice nominee Brett Kavanaugh's confirmation.
31,2018-08-29,President Donald Trump said Wednesday that Don McGahn will leave his job as White House counsel this fall following Supreme Court Justice nominee Brett Kavanaugh's confirmation.
32,2018-08-29,Sen. Jeff Flake hit back at President Donald Trump over what the Arizona Republican said is a misrepresentation of his support for GOP Rep. Martha McSally's Senate bid.
33,2018-08-29,"White House counselor Kellyanne Conway says Attorney General Jeff Sessions is ""doing a great job,"" but won't say if President Trump has confidence in him."
34,2018-08-29,Democratic nominee for Florida governor Andrew Gillum isn't worried about the possible influence President Donald Trump will have on his race against Republican Ron DeSantis in the general election this November.
35,2018-08-29,"In an interview with CNN's Alisyn Camerota, San Juan mayor Carmen Yulin Cruz blames the Trump administration's neglect when asked who is responsible for the close to 3,000 death toll from Hurricane Maria reported."
36,2018-08-29,La redada ocurrió después de haber recibido información de que la compañía contrató a inmigrantes indocumentados que usaron documentos de identificación fraudulentos.
37,2018-08-29,"Scott Jennings writes that Trump showed tactical awareness in two key races -- remaining largely silent on the Arizona race, where the moderate Republican candidate was victorious, and endorsing the Florida Republican for governor, who won his race."
38,2018-08-29,"Ikea is coming under fire in China for how it describes Taiwan, making it the latest in a string of global brands that have fallen foul of Beijing's political sensitivities."
39,2018-08-29,It might at first look like a full-scale rebellion in Europe.
40,2018-08-29,China's top drug control body has hit back at recent claims by US President Donald Trump that Chinese suppliers are fueling America's opioid crisis.
41,2018-08-29,Here's what else you need to know to Get Up to Speed and Out the Door.
42,2018-08-29,Here's what you need to know about the markets before you start your business day.
43,2018-08-29,The latest official death toll from Hurricane Maria shows that nearly as many people died as a result of the storm as did during the Sept. 11 terror attacks.
44,2018-08-29,"CNN's Gary Tuchman speaks to American Legion members, many of whom are Trump supporters, about the White House flag controversy following the death of Sen. John McCain."
45,2018-08-29,"Tallahassee Mayor Andrew Gillum on Tuesday became Florida's first African-American nominee for governor, as he notched a major victory for progressives in the state and around the country."
46,2018-08-29,President Donald Trump took a huge risk by holding a summit with North Korean leader Kim Jong Un and hailing it as a stunning history-changing success.
47,2018-08-29,Florida's high-stakes gubernatorial race will be fought between a progressive Democrat vying to become the state's first black chief executive and a Republican congressman closely allied with President Donald Trump.
48,2018-08-29,A version of this article first appeared in the Reliable Sources newsletter. You can sign up for free right here.
49,2018-08-29,"President Trump is once again lashing out at Big Tech. This time, he spent Tuesday with Google in his sights."
50,2018-08-29,"El presidente Donald Trump volvió a arremeter contra la supuesta parcialidad en internet y acusó a Google de mostrar únicamente ""historias malas"" sobre él cuando los usuarios buscan ""noticias de Trump""."
51,2018-08-29,
52,2018-08-29,President Donald Trump is now turning his focus toward on cutting a trade deal with Canada after the United States and Mexico reached an agreement on Monday.
53,2018-08-29,What to do when the President's speakerphone won't work? Fill in the silence. CNN's Jeanne Moos reports on the President Trump memes.
54,2018-08-28,"The judge who will oversee Paul Manafort's trial in Washington has warned members of the defense team several times about their behavior in court, including on Tuesday morning at a hearing."
55,2018-08-28,"For all of Donald Trump's struggles in his first 19 months as President, there's one thing he's proven particularly adept at: Picking winners in contested GOP primaries."
56,2018-08-28,"Supreme Court nominee Brett Kavanaugh will be introduced by Republican Sen. Rob Portman of Ohio, former Secretary of State Condoleezza Rice and liberal lawyer Lisa Blatt at his Senate Judiciary Committee confirmation hearing next week."
57,2018-08-28,"Senate Majority Leader Mitch McConnell cut a deal with Democratic leaders in the upper chamber to clear a slate of President Donald Trump's nominees, one of the top August priorities for the Kentucky Republican."
58,2018-08-28,"GOP candidates are echoing President Trump leading up to Arizona's Senate primary election that will pick a Republican nominee for the seat currently held by Sen. Jeff Flake (R-AZ), who is retiring."
59,2018-08-28,"Longtime Trump confidant Roger Stone declared in a fundraising email that he is next on Special Counsel Robert Mueller's ""hit list,"" suggesting he may be indicted. CNN's Brian Todd has more."
60,2018-08-28,"President Donald Trump warned there will be ""violence"" if the Republicans lose their majority in Congress as a result of the 2018 midterms, in a recording now heard by CNN."
61,2018-08-28,"President Donald Trump, facing scrutiny for hush money payments to a porn star and a former Playboy model, pleaded with evangelical leaders for political help during closed-door remarks on Monday, warning of dire consequences to their congregations should Rep…"
62,2018-08-28,Senate Republicans are sending decidedly mixed messages about how they feel about the future of Attorney General Jeff Sessions amid unrelenting criticism from President Donald Trump.
63,2018-08-28,"President Donald Trump doubled down on claims of bias against conservatives on the internet, accusing Google of rigging its results to show ""bad"" stories when users search for ""Trump news."""
64,2018-08-28,"John Avlon writes that McCain's poignant farewell fits squarely into a great tradition of farewell addresses in American life, offering a look back and some important advice for the future"
65,2018-08-28,"In recent days, one of Michael Cohen's lawyers has repeatedly changed his account of what Cohen knew about President Donald Trump's involvement in a controversial meeting during the 2016 campaign."
66,2018-08-28,"Sessions' supporters say there no one else who could better execute Trump's own vision on immigration, even as Trump criticizes his own attorney general"
67,2018-08-28,"Estados Unidos y México alcanzaron un acuerdo preliminar para reformular el NAFTA, pero el presidente Donald Trump aseguró que se trata de un nuevo convenio comercial bilateral y hasta le dio un nombre. Pero hay más detrás de sus palabras."
68,2018-08-28,"The newspaper industry has been fighting tariffs on Canadian newsprint for months, claiming that they will devastate an already troubled business. A vote this week could decide whether those tariffs are here to stay."
69,2018-08-28,"Over the weekend, Democrats made what they wanted you to believe was a Very Big Change."
70,2018-08-28,"Florida y Arizona celebran elecciones primarias este martes, dando la partida a las carreras de la Cámara de Representantes y del Senado que serán fundamentales para el equilibrio de poder en Washington, en noviembre."
71,2018-08-28,To understand how a seemingly pious politician such as Pence could join Donald Trump and stick with him requires tracing the long path of his ambition. Pence wasn't always the rigidly moralistic and confident conservative evangelical he professes to be today.…
72,2018-08-28,"President Trump accused Google of ""suppressing voices of conservatives"" by rigging search results. CNN's Hadas Gold reports on the president's tweets."
73,2018-08-28,"GOP candidates for the state's other Senate seat fully embrace Trump, highlighting the tension within the Republican party."
74,2018-08-28,"Opening statements for Paul Manafort's second criminal trial will be delayed by a week and the special counsel's office will not bring up Manafort's work as Donald Trump's presidential campaign chairman, it was revealed in court Tuesday."
75,2018-08-28,"The flow of felonies being meted out and pleaded to by former denizens of Trump World isn't normal, says John Avlon. Trump may be on pace to equal or exceed the record set by his swampiest predecessor, Richard Nixon."
76,2018-08-28,"La vaga explicación del Abierto de Francia huele a racismo y sexismo, y sugiere que los hombres en una posición de poder deberían poder dictar el estilo de Williams, aparentemente en un esfuerzo por asegurarse de que concuerde con los estándares blancos de be…"
77,2018-08-28,"La colombiana Charlotte Alvarado ha vivido semanas difíciles lejos de su familia y en un hospital de Israel. Ella denuncia que el padre de su hija intentó asesinarla lanzándola de un cuarto piso. Según la Policía de Israel, el hombre dijo que ella se lanzó du…"
78,2018-08-28,"President Trump accused Google of ""suppressing voices of conservatives"" by rigging search results. CNN's Hadas Gold reports on the president's tweets."
79,2018-08-28,"Congressman Tim Ryan is at a crossroads, considering two distinct paths ahead of him."
80,2018-08-28,"Health care was the top issue referenced in campaign advertisements ahead of the US Senate primaries in Arizona and Florida on Tuesday, driven largely by Democratic messaging."
81,2018-08-28,"The preliminary US-Mexico trade deal marks the beginning of what could be a stronger and more modern NAFTA -- as well as a productive bilateral relationship, writes Amanda Mattingly."
82,2018-08-28,"President Donald Trump has accused Google of rigging its results to show ""bad"" stories when users search for ""Trump news."""
83,2018-08-28,"The playbook, by now, is familiar. Faced with a negative story -- or stories -- President Donald Trump uses his Twitter feed to float a conspiracy theory of some sort designed to distract and deflect."
84,2018-08-28,"US President Donald Trump is often far from coherent, in his statements or his actions."
85,2018-08-28,"Sen. Lindsey Graham said Tuesday that President Donald Trump's relationship with Jeff Sessions is ""beyond repair"" and suggested that the attorney general be replaced."
86,2018-08-28,"Denise Morrison writes that Trump's EPA has dismantled its environmental justice regulations and programs, endangering communities of color residing in high-pollution areas."
87,2018-08-28,"The day before Arizona begins memorializing Sen. John McCain, the state's Republicans will make a major statement about the future of the party of McCain and President Donald Trump."
88,2018-08-28,"Bruce Ohr, the career Justice Department official targeted by President Donald Trump as a ""creep"" and a ""disgrace,"" will face a grilling by Republican lawmakers Tuesday on Capitol Hill."
89,2018-08-28,Paul Manafort's second trial is set to begin September 17 in Washington.
90,2018-08-28,Among the many triumphs of John McCain's long political career was that he proved George Washington Plunkitt wrong.
91,2018-08-28,Here's what else you need to know to Get Up to Speed and Out the Door.
92,2018-08-28,A photographer is hoping to counter growing Islamophobia through candid images of everyday US Muslims.
93,2018-08-28,David Love writes that Serena Williams not being allowed to wear her black catsuit in the French Open is yet another example of black people being subjected to forms of racial discrimination that should be things of the past.
94,2018-08-28,1. Trump vs. Canada: The United States and Mexico have reached an agreement to change parts of NAFTA. But where does that leave Canada?
95,2018-08-28,"Top North Korean officials warned the United States in a letter that denuclearization talks are ""again at stake and may fall apart,"" sources familiar with the process told CNN."
96,2018-08-28,CNN's Chris Cuomo blasts President Donald Trump for his response to Sen. John McCain's death.
97,2018-08-28,"After a year and a half in office, many people living in the Middle East still question if President Trump is a 'friend' or 'foe?' CNN's Ben Wedeman speaks to analysts, ordinary citizens as well Palestinian refugees, and so far, the reviews are mixed."
98,2018-08-28,"Sen. John McCain's heroism and code of honor, duty and unifying pragmatism will endure as a powerful historical example. But his political legacy met its match in President Donald Trump, who has prevailed in their struggle for the current soul of the GOP."
