,Date,SPX Open Price,SPX Volume,NYT VS (Day_Lag=-1),WSJ VS (Day_Lag=-1),CNN VS (Day_Lag=-1)
0,2018-08-03,2829.6201,3030390000,0.0548,0.0326,0.0843
1,2018-08-06,2840.29,2874540000,0.0857,-0.0794,0.0885
2,2018-08-07,2855.9199,3162770000,-0.2264,0.15,0.0163
3,2018-08-08,2856.79,2972200000,-0.1794,-0.1171,-0.0294
4,2018-08-09,2857.1899,3047050000,0.196,-0.1176,0.034
5,2018-08-10,2838.8999,3256040000,0.1003,-0.1155,0.0835
6,2018-08-13,2835.46,3158450000,-0.1759,-0.0188,-0.1313
7,2018-08-14,2827.8799,2976970000,-0.1181,-0.0119,0.0308
8,2018-08-15,2827.95,3645070000,0.1333,-0.2306,-0.0596
9,2018-08-16,2831.4399,3219880000,-0.2392,-0.0744,-0.0156
10,2018-08-17,2838.3201,3024100000,-0.1948,-0.1117,0.0136
11,2018-08-20,2853.9299,2748020000,-0.001,-0.0099,0.0343
12,2018-08-21,2861.51,3147140000,0.0017,0.1182,0.0587
13,2018-08-22,2860.99,2689560000,-0.2107,-0.0036,-0.014
14,2018-08-23,2860.29,2713910000,-0.1046,-0.0658,-0.0867
15,2018-08-24,2862.3501,2596190000,0.101,0.0171,-0.0774
16,2018-08-27,2884.6899,2854080000,0.0963,-0.0256,-0.1214
17,2018-08-28,2901.45,2683190000,0.0483,0.0859,0.0031
18,2018-08-29,2900.6201,2791860000,0.0658,0.0912,0.0594
19,2018-08-30,2908.9399,2802180000,-0.0359,0.3793,0.0397
