,Date,Description
0,2018-08-29,The departing White House counsel helped remake the judiciary.
1,2018-08-29,Wall Street Journal The Other House Race Wall Street Journal There are two battles under way for control of the U.S. House of Representatives. The first and better known is over which party will have the majority when the 116th Congress meets in January. This…
2,2018-08-29,"Florida’s race for governor will offer the first major test of the Democratic and Republican party bases, both of which are being transformed in the Trump era."
3,2018-08-29,"Plus, more evidence of a strong economy."
4,2018-08-29,Brown-Forman lowered its profit outlook because of the uncertainty and added costs created by recently enacted EU tariffs on U.S. whiskey.
5,2018-08-29,"Mexico and the U.S. have negotiated a side letter to the revamped North American Free Trade Agreement that would soften the blow of possible U.S. national-security tariffs the Trump administration is considering for auto imports, Mexican Economy Minister Ilde…"
6,2018-08-29,"Canadian Foreign Minister Chrystia Freeland said bilateral talks with the Trump administration toward a revamped North American Free Trade Agreement kicked off in earnest Wednesday, and reiterated her optimism about success now that issues related automobiles…"
7,2018-08-29,"As U.S.-Canada trade talks kick off in earnest, Foreign Minister Chrystia Freeland reveals that the two nations already reached an accord on autos."
8,2018-08-29,"This is the web version of the WSJ’s Capital Journal newsletter. You can sign up for daily delivery here. What We’re Watching Primary Races: Results in Florida, Oklahoma and Arizona overnight set the stage for key contests in the fall. Details below. Remember…"
9,2018-08-29,"Turkey’s central bank took steps to undo some of the emergency support it provided to its banks, reviving investor concerns over the nation’s financial stability as the lira continued its slide against the dollar."
10,2018-08-29,"WSJ City is the app that delivers concise, smart news on business and finance for mobile. Download for iPhone or Android. Here’s essential reading on today’s developments. MUST READS FROM WSJ CITY Turkey’s central bank took steps to undo some of the emergency…"
11,2018-08-29,"Blockaded by Mideast neighbors, the emirate deployed an unconventional lobbying campaign to win over an unconventional U.S. president, using a list of friends, associates and well-placed admirers; ‘getting into his head as much as possible.’"
12,2018-08-29,"Wall Street Journal US Stocks Rise as Nafta Talks Proceed Wall Street Journal Gains in technology stocks lifted the S&P 500 Wednesday, putting the index on track for a fourth straight record as investors monitored the latest trade developments. The S&P 500 ad…"
13,2018-08-29,"Members of Congress are pressuring the Trump administration to confront Beijing over the mass roundup of Muslims in internment camps, urging travel and financial sanctions be clamped on senior Chinese officials involved in the detentions."
14,2018-08-29,"Don McGahn, the top attorney in the White House, will leave his post in the coming months, the latest departure of one of President Trump’s senior aides."
15,2018-08-29,"The Office of the Comptroller of the Currency opened public discussion on revamping the Community Reinvestment Act, a step that could impact billions of dollars of lending"
