Date,Date,CNN VS (Day_Lag=-1)
2018-07-20,2018-07-20,0.0804
2018-07-21,2018-07-21,0.0256
2018-07-22,2018-07-22,0.0255
2018-07-23,2018-07-23,0.0649
2018-07-24,2018-07-24,0.0276
2018-07-25,2018-07-25,0.0254
2018-07-26,2018-07-26,-0.1175
2018-07-27,2018-07-27,-0.0416
2018-07-28,2018-07-28,-0.1119
2018-07-29,2018-07-29,-0.2106
2018-07-30,2018-07-30,0.0323
2018-07-31,2018-07-31,0.0169
2018-08-01,2018-08-01,0.0582
2018-08-02,2018-08-02,0.0402
2018-08-03,2018-08-03,0.0843
2018-08-04,2018-08-04,0.0483
2018-08-05,2018-08-05,0.1069
2018-08-06,2018-08-06,0.0885
2018-08-07,2018-08-07,0.0163
2018-08-08,2018-08-08,-0.0294
2018-08-09,2018-08-09,0.034
2018-08-10,2018-08-10,0.0835
2018-08-11,2018-08-11,-0.1145
2018-08-12,2018-08-12,-0.1088
2018-08-13,2018-08-13,-0.1313
2018-08-14,2018-08-14,0.0308
2018-08-15,2018-08-15,-0.0596
2018-08-16,2018-08-16,-0.0156
2018-08-17,2018-08-17,0.0136
2018-08-18,2018-08-18,0.0998
2018-08-19,2018-08-19,0.0538
2018-08-20,2018-08-20,0.0343
2018-08-21,2018-08-21,0.0587
2018-08-22,2018-08-22,-0.014
2018-08-23,2018-08-23,-0.0867
2018-08-24,2018-08-24,-0.0774
2018-08-25,2018-08-25,-0.1515
2018-08-26,2018-08-26,-0.1686
2018-08-27,2018-08-27,-0.1214
2018-08-28,2018-08-28,0.0031
2018-08-29,2018-08-29,0.0594
2018-08-30,2018-08-30,0.0397
