Date,Date,NYT VS (Day_Lag=-1)
2018-08-03,2018-08-03,0.0548
2018-08-04,2018-08-04,0.0393
2018-08-05,2018-08-05,-0.0273
2018-08-06,2018-08-06,0.0857
2018-08-07,2018-08-07,-0.2264
2018-08-08,2018-08-08,-0.1794
2018-08-09,2018-08-09,0.196
2018-08-10,2018-08-10,0.1003
2018-08-11,2018-08-11,-0.0348
2018-08-12,2018-08-12,-0.7506
2018-08-13,2018-08-13,-0.1759
2018-08-14,2018-08-14,-0.1181
2018-08-15,2018-08-15,0.1333
2018-08-16,2018-08-16,-0.2392
2018-08-17,2018-08-17,-0.1948
2018-08-18,2018-08-18,-0.151
2018-08-20,2018-08-20,-0.001
2018-08-21,2018-08-21,0.0017
2018-08-22,2018-08-22,-0.2107
2018-08-23,2018-08-23,-0.1046
2018-08-24,2018-08-24,0.101
2018-08-25,2018-08-25,-0.0726
2018-08-26,2018-08-26,-0.0351
2018-08-27,2018-08-27,0.0963
2018-08-28,2018-08-28,0.0483
2018-08-29,2018-08-29,0.0658
2018-08-30,2018-08-30,-0.0359
